timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1555963995.077,13.184,32.715,60.059,51.270,8.301,0
1555963995.081,1.465,35.645,74.219,58.105,3.418,0
1555963995.085,12.207,33.203,92.773,53.711,76.172,0
1555963995.089,56.152,34.668,95.703,50.293,79.102,0
1555963995.093,44.434,38.574,71.289,61.523,21.973,0
1555963995.097,8.301,35.645,40.527,84.473,-2.930,0
1555963995.101,35.645,37.598,21.484,86.914,26.855,0
1555963995.104,53.711,35.645,35.156,68.359,-1.953,0
1555963995.108,41.016,27.832,99.121,62.012,7.812,0
1555963995.112,26.855,32.715,80.078,74.707,30.273,0
1555963995.116,26.367,34.180,55.664,62.012,14.648,0
1555963995.120,39.062,30.762,67.871,45.410,-15.625,0
1555963995.123,30.762,30.762,83.008,47.852,4.883,0
1555963995.127,-5.371,29.297,62.012,59.570,12.695,0
1555963995.131,-17.090,28.320,38.086,54.688,-18.555,0
1555963995.135,16.602,24.414,67.383,41.016,1.953,0
1555963995.139,23.438,25.391,84.961,43.457,8.301,0
1555963995.143,4.883,33.691,51.270,56.152,53.223,0
1555963995.147,6.348,40.039,-12.695,64.941,15.137,0
1555963995.150,24.414,35.156,59.570,41.016,5.859,0
1555963995.154,46.875,30.273,123.047,34.668,60.547,0
1555963995.158,29.297,26.855,52.246,55.176,61.523,0
1555963995.162,-3.418,25.879,24.902,56.152,49.805,0
1555963995.166,7.812,25.879,51.758,46.875,8.789,0
1555963995.182,51.758,26.855,69.824,44.922,17.578,0
1555963995.186,49.316,35.645,34.180,51.758,7.324,0
1555963995.190,13.184,35.156,41.992,54.688,40.527,0
1555963995.194,-1.953,30.273,80.078,54.688,48.828,0
1555963995.198,22.461,27.344,85.449,48.340,29.297,0
1555963995.202,62.500,35.645,31.250,58.105,62.012,0
1555963995.206,48.828,46.387,8.789,51.758,71.289,0
1555963995.209,23.926,45.410,48.828,26.855,19.043,0
1555963995.213,45.410,40.527,50.781,30.273,-3.418,0
1555963995.217,50.293,37.598,21.973,42.480,-13.184,0
1555963995.221,10.254,37.598,12.695,46.875,-23.926,0
1555963995.225,7.324,40.039,34.180,50.293,34.668,0
1555963995.228,34.180,35.645,4.883,54.199,62.012,0
1555963995.232,61.035,32.715,-1.465,53.711,27.832,0
1555963995.236,54.199,35.645,14.160,64.941,18.555,0
1555963995.240,28.320,41.504,12.207,61.035,51.758,0
1555963995.244,26.367,43.457,-0.977,47.852,44.434,0
1555963995.248,41.992,36.133,-26.855,56.152,-0.977,0
1555963995.252,60.547,43.457,-25.879,41.504,56.641,0
1555963995.255,32.715,50.293,-18.066,23.438,69.336,0
1555963995.259,38.086,45.898,-43.457,41.992,-10.254,0
1555963995.263,62.500,40.527,-69.824,42.969,3.418,0
1555963995.267,28.809,37.598,-12.207,29.297,46.387,0
1555963995.271,23.438,40.527,-12.207,28.809,49.805,0
1555963995.272,15.137,39.551,-54.688,51.758,55.176,0
1555963995.276,46.875,31.250,-27.832,57.129,67.383,0
1555963995.280,83.984,33.203,-15.625,35.156,20.996,0
1555963995.284,43.945,48.828,-51.758,42.480,-10.742,0
1555963995.288,18.555,52.246,-56.641,51.758,45.898,0
1555963995.292,43.945,44.922,-54.199,49.805,31.250,0
1555963995.296,75.195,41.016,-26.855,31.738,18.066,0
1555963995.299,56.152,44.922,-1.465,28.809,33.691,0
1555963995.303,33.691,46.875,-83.984,55.664,-3.906,0
1555963995.307,62.500,39.551,-90.820,47.363,-16.602,0
1555963995.311,55.176,24.414,15.625,11.719,25.391,0
1555963995.315,38.574,22.949,-1.953,14.648,36.133,0
1555963995.317,27.832,30.762,-53.711,36.133,39.062,0
1555963995.321,9.277,33.203,-69.336,24.414,-11.719,0
1555963995.325,52.734,33.203,-49.805,6.836,-9.766,0
1555963995.329,103.027,36.621,-42.969,22.461,79.590,0
1555963995.333,83.008,43.945,-83.984,34.180,61.035,0
1555963995.337,15.625,40.527,-93.750,36.133,24.902,0
1555963995.341,24.902,30.273,-50.293,27.832,37.598,0
1555963995.344,70.801,35.645,-39.062,22.461,0.488,0
1555963995.348,67.383,47.852,-78.613,37.109,-20.996,0
1555963995.352,41.504,42.969,-21.973,22.949,-44.434,0
1555963995.356,63.477,28.320,51.270,12.695,19.043,0
1555963995.360,97.656,31.250,7.812,10.254,48.340,0
1555963995.362,87.891,36.621,-21.484,3.418,-14.160,0
1555963995.366,71.777,35.645,-7.324,19.531,-6.836,0
1555963995.370,61.523,38.086,-1.465,32.715,-3.906,0
1555963995.374,70.801,38.086,11.719,22.949,17.090,0
1555963995.378,113.281,44.922,1.465,19.531,4.395,0
1555963995.382,114.746,51.270,-25.391,41.992,0.488,0
1555963995.386,80.078,42.480,-3.906,44.434,-4.395,0
1555963995.389,101.074,39.062,4.395,35.156,14.160,0
1555963995.393,112.793,38.574,0.000,24.902,19.531,0
1555963995.397,80.566,32.715,42.969,20.020,-13.184,0
1555963995.401,76.660,39.551,46.875,32.715,-1.465,0
1555963995.405,102.539,39.062,57.129,41.992,34.180,0
1555963995.407,142.578,36.621,65.430,22.949,53.223,0
1555963995.411,133.301,34.180,55.176,10.742,34.668,0
1555963995.415,86.914,36.133,45.410,38.574,48.828,0
1555963995.419,108.887,46.875,35.156,25.391,-3.418,0
1555963995.423,145.996,42.480,91.309,13.672,20.996,0
1555963995.427,135.254,27.832,104.004,25.879,83.984,0
1555963995.431,89.844,27.832,74.707,35.156,97.656,0
1555963995.434,115.234,47.363,49.316,54.199,99.121,0
1555963995.438,182.129,43.945,97.168,38.086,27.832,0
1555963995.442,162.598,29.785,158.203,23.438,26.855,0
1555963995.446,133.789,33.691,115.234,38.574,70.801,0
1555963995.450,139.648,35.156,83.496,39.551,46.387,0
1555963995.452,146.973,28.320,97.168,23.438,23.926,0
1555963995.456,168.457,38.574,106.445,19.531,6.348,0
1555963995.460,179.199,52.734,56.152,38.574,-6.348,0
1555963995.464,144.531,41.504,67.871,46.387,32.715,0
1555963995.468,159.668,26.855,124.023,28.809,66.895,0
