,timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
0,1581435148.3720002,19.531,21.484,3.906,26.367,0.0,0
1,1581435148.3760002,41.992,20.996,8.301,49.316,0.0,0
2,1581435148.38,30.762,17.09,15.137,38.574,0.0,0
3,1581435148.3839998,21.973000000000006,16.602,14.16,29.785,0.0,0
4,1581435148.3879998,20.508000000000006,25.391,16.602,33.203,0.0,0
5,1581435148.3920002,20.508000000000006,14.16,14.16,25.391,0.0,0
6,1581435148.396,19.043,7.324,9.766,17.09,0.0,0
7,1581435148.399,14.16,12.695,7.324,20.02,0.0,0
8,1581435148.403,13.184,8.301,6.836,20.996,0.0,0
9,1581435148.407,24.414,5.859,14.648,12.207,0.0,0
10,1581435148.411,23.438,9.766,13.184,18.066,0.0,0
11,1581435148.415,23.926,4.883,6.348,39.551,0.0,0
12,1581435148.417,12.207,5.859,8.789,35.645,0.0,0
13,1581435148.421,1.953,15.137,6.836,14.648,0.0,0
14,1581435148.425,11.719,11.23,8.301,19.531,0.0,0
15,1581435148.429,12.207,12.207,11.23,31.738000000000003,0.0,0
16,1581435148.4329998,5.859,10.742,13.672,38.086,0.0,0
17,1581435148.437,5.371,8.301,14.16,31.25,0.0,0
18,1581435148.441,12.695,1.953,13.184,6.348,0.0,0
19,1581435148.444,11.719,2.441,10.742,6.836,0.0,0
20,1581435148.448,8.789,15.625,5.371,8.301,0.0,0
21,1581435148.452,0.977,18.066,3.906,11.719,0.0,0
22,1581435148.456,8.789,19.531,3.906,24.414,0.0,0
23,1581435148.46,22.949,12.207,11.23,20.508000000000006,0.0,0
24,1581435148.462,20.996,13.184,8.789,19.531,0.0,0
25,1581435148.466,15.625,21.973000000000006,3.906,26.367,0.0,0
26,1581435148.47,17.09,20.508000000000006,15.137,29.297,0.0,0
27,1581435148.474,9.277,13.672,21.484,24.902,0.0,0
28,1581435148.478,11.719,13.672,11.719,26.855,0.0,0
29,1581435148.482,19.043,16.113,6.836,22.461,0.0,0
30,1581435148.486,16.113,11.719,8.789,24.902,0.0,0
31,1581435148.4889998,15.625,18.555,8.789,23.438,0.0,0
32,1581435148.4929998,14.16,17.578,13.184,7.812,0.0,0
33,1581435148.4970002,10.742,15.625,12.695,6.836,0.0,0
34,1581435148.5010002,13.672,12.695,8.301,27.344,0.0,0
35,1581435148.505,21.973000000000006,-3.906,10.742,35.645,0.0,0
36,1581435148.5070002,19.043,7.812,13.672,30.273000000000003,0.0,0
37,1581435148.5110002,12.207,25.391,9.766,30.273000000000003,0.0,0
