,session1,session2,condition
A-3,60.747663551401864,82.2429906542056,control
A-5,80.95238095238095,85.84905660377359,control
A-6,71.96261682242991,42.056074766355145,request
A-7,61.32075471698113,26.415094339622648,control
A-8,40.95238095238095,64.48598130841121,request
A-9,45.28301886792453,61.68224299065421,control
A-12,20.75471698113207,45.79439252336449,request
A-14,42.056074766355145,22.64150943396226,request
A-15,36.111111111111114,57.54716981132076,control
A-17,64.15094339622642,69.1588785046729,control
A-18,14.953271028037385,8.490566037735848,request
A-19,40.56603773584906,41.12149532710281,control
A-20,21.698113207547166,22.429906542056077,request
A-21,41.12149532710281,26.851851851851848,control
A-22,27.35849056603774,30.555555555555557,request
A-23,26.415094339622648,42.990654205607484,control
A-25,48.5981308411215,44.859813084112155,control
A-26,19.047619047619047,25.47169811320755,request
A-27,60.747663551401864,62.03703703703704,control
A-28,42.990654205607484,40.186915887850475,request
A-29,40.186915887850475,31.775700934579444,control
A-32,31.132075471698116,24.29906542056075,request
A-33,39.81481481481482,51.4018691588785,control
A-34,48.113207547169814,62.616822429906534,request
B1-2,40.833333333333336,43.333333333333336,control
B1-3,19.999999999999996,77.5,request
B1-4,75.83333333333333,54.16666666666667,control
B1-5,35.0,62.5,request
B1-6,40.833333333333336,69.16666666666667,control
B1-7,60.83333333333334,40.833333333333336,request
B1-8,44.99999999999999,63.33333333333333,control
B1-9,60.83333333333334,25.83333333333333,request
B1-14,42.50000000000001,19.999999999999996,control
B1-15,60.0,60.0,request
B1-16,66.66666666666667,83.33333333333334,control
B1-17,61.66666666666667,24.16666666666667,request
B1-19,62.5,43.333333333333336,request
B1-20,80.0,80.83333333333333,control
B1-23,61.66666666666667,24.16666666666667,request
B1-24,67.22689075630252,40.0,control
B1-25,47.5,19.999999999999996,request
B1-29,82.5,51.66666666666666,request
B1-30,60.0,37.5,control
B1-31,60.0,24.16666666666667,request
B1-32,63.33333333333333,47.5,control
B1-33,86.66666666666667,56.666666666666664,request
B1-35,13.33333333333333,21.666666666666668,request
