timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1555507852.857,224.121,56.641,21.484,-10.742,-32.715,0
1555507852.861,-19.043,48.828,20.996,-12.207,4.883,0
1555507852.865,-124.512,37.598,21.484,-14.160,26.367,0
1555507852.869,111.328,39.062,21.484,-17.578,-12.695,0
1555507852.873,260.742,41.992,19.531,-12.695,19.043,0
1555507852.877,64.453,36.621,25.879,-2.930,42.969,0
1555507852.881,-142.578,34.668,31.738,-5.859,37.598,0
1555507852.884,23.926,45.898,29.297,-4.395,43.457,0
1555507852.888,241.211,51.758,30.762,-3.906,50.293,0
1555507852.892,112.793,46.387,34.180,-3.418,20.508,0
1555507852.896,-139.160,37.598,29.785,-4.883,19.043,0
1555507852.900,-62.988,38.574,21.973,-6.348,32.715,0
1555507852.917,191.406,38.574,19.043,-9.277,-7.812,0
1555507852.921,167.480,32.227,25.391,-16.113,-25.879,0
1555507852.925,-91.797,31.250,26.367,-13.672,-19.531,0
1555507852.929,-123.535,28.809,28.320,-11.230,-33.691,0
1555507852.933,134.766,32.227,31.738,-13.184,-11.719,0
1555507852.937,215.332,27.344,27.344,-9.766,47.363,0
1555507852.941,-12.695,27.344,28.809,-11.230,22.461,0
1555507852.944,-150.391,40.039,33.691,-3.418,0.977,0
1555507852.948,55.176,33.691,33.203,1.953,28.320,0
1555507852.952,220.703,26.855,28.320,-0.977,9.277,0
1555507852.956,51.758,31.738,26.855,-1.953,-0.488,0
1555507852.960,-161.133,33.691,26.855,-3.906,56.641,0
1555507852.962,-15.625,34.180,22.949,-7.324,58.594,0
1555507852.966,232.910,37.598,23.926,-8.301,-5.371,0
1555507852.970,152.344,43.945,26.855,-6.836,-6.348,0
1555507852.974,-111.816,43.945,24.902,-1.465,28.809,0
1555507852.978,-74.219,38.574,20.020,-3.418,64.453,0
1555507852.982,193.848,37.598,17.090,-11.230,27.832,0
1555507852.986,207.520,37.109,20.508,-16.113,-4.395,0
1555507852.989,-47.852,35.156,22.949,-17.090,45.898,0
1555507852.993,-117.676,30.273,26.367,-10.254,76.660,0
1555507852.997,139.160,22.461,22.461,-18.066,41.016,0
1555507853.001,256.836,31.250,17.090,-27.344,32.715,0
1555507853.005,37.598,34.180,23.926,-13.672,42.969,0
