timestamps,TP9,AF7,AF8,TP10,Marker0
1581616803.258,30.762,21.484,33.691,22.461,0
1581616803.262,28.809,26.855,33.691,31.250,0
1581616803.266,33.203,27.344,31.250,30.762,0
1581616803.270,32.715,23.926,30.762,25.879,0
1581616803.274,32.715,20.508,33.691,23.926,0
1581616803.278,36.621,20.996,36.133,29.785,0
1581616803.282,38.086,20.996,33.691,35.645,0
1581616803.285,32.715,19.043,34.180,28.320,0
1581616803.289,27.344,20.508,38.574,24.902,0
1581616803.293,21.973,21.484,38.086,22.949,0
1581616803.297,20.996,20.508,36.621,19.531,0
1581616803.301,26.367,18.066,36.621,19.531,0
1581616803.302,26.367,19.043,36.133,16.602,0
1581616803.306,22.461,18.555,37.598,15.137,0
1581616803.310,30.273,19.531,37.109,16.113,0
1581616803.314,29.297,17.090,36.133,15.625,0
1581616803.318,24.414,16.113,32.227,11.719,0
1581616803.322,29.297,18.066,32.715,14.648,0
1581616803.326,26.855,17.578,34.668,19.043,0
1581616803.329,21.973,14.648,36.133,12.207,0
1581616803.333,29.297,17.090,38.086,11.230,0
1581616803.337,31.250,20.020,36.133,7.324,0
1581616803.341,21.973,14.160,32.715,7.812,0
1581616803.345,28.320,17.090,33.691,12.695,0
1581616803.348,32.715,22.949,33.691,12.207,0
1581616803.352,29.785,21.973,31.250,15.137,0
1581616803.356,30.273,20.508,31.738,20.020,0
1581616803.360,29.785,22.949,33.203,24.414,0
1581616803.364,28.320,26.367,34.668,19.043,0
1581616803.368,23.438,25.391,33.691,5.371,0
1581616803.372,17.090,24.414,31.250,1.465,0
1581616803.375,14.160,26.367,27.344,3.418,0
1581616803.379,13.184,24.902,25.391,0.488,0
1581616803.383,13.184,22.949,28.320,-2.930,0
1581616803.387,12.695,24.414,31.738,0.000,0
1581616803.391,12.207,25.391,33.203,6.348,0
1581616803.393,10.742,23.438,32.715,7.324,0
1581616803.397,7.812,24.902,32.715,0.000,0
1581616803.401,13.184,25.391,29.785,-1.953,0
1581616803.405,20.508,24.902,29.297,5.371,0
1581616803.409,18.555,23.926,27.832,6.348,0
1581616803.413,20.508,24.414,28.320,2.441,0
1581616803.417,22.949,25.879,30.762,3.418,0
1581616803.420,15.137,24.902,29.297,8.301,0
1581616803.424,12.207,24.902,30.273,5.859,0
1581616803.428,18.066,26.367,30.273,7.324,0
1581616803.432,17.578,24.414,24.902,10.254,0
1581616803.436,9.766,23.926,26.367,9.766,0
