timestamps,TP9,AF7,AF8,TP10,Marker0
1582059655.602,43.457,-85.449,33.203,33.691,0
1582059655.606,39.062,85.449,36.133,27.832,0
1582059655.610,28.809,87.402,35.156,20.508,0
1582059655.614,27.344,-78.613,32.715,22.461,0
1582059655.618,17.090,-96.680,34.668,21.973,0
1582059655.622,16.602,-187.500,35.156,18.066,0
1582059655.626,18.555,-190.918,37.109,20.020,0
1582059655.629,7.324,-338.379,38.086,17.090,0
1582059655.633,16.602,-518.555,33.691,27.832,0
1582059655.637,20.996,-290.527,28.809,22.949,0
1582059655.641,15.625,-149.414,22.461,1.465,0
1582059655.645,20.508,-158.691,20.996,-2.930,0
1582059655.647,15.137,-125.488,36.621,-17.578,0
1582059655.651,11.230,28.320,42.480,-6.836,0
1582059655.655,22.949,38.574,37.598,14.648,0
1582059655.659,24.902,-50.293,36.133,-0.977,0
1582059655.663,20.996,-13.184,30.762,-4.395,0
1582059655.667,31.250,-78.125,25.879,8.789,0
1582059655.671,36.621,-234.375,21.973,3.906,0
1582059655.674,26.367,-408.203,24.902,5.859,0
1582059655.678,6.836,-293.457,33.691,-9.277,0
1582059655.682,20.508,-84.961,32.715,-22.461,0
1582059655.686,35.156,-144.043,32.227,-8.789,0
1582059655.690,47.363,-71.289,31.738,6.836,0
1582059655.692,53.223,-26.855,25.391,14.160,0
1582059655.696,38.574,-54.688,25.879,6.348,0
1582059655.700,42.480,17.090,24.902,14.160,0
1582059655.704,66.895,49.805,28.320,35.645,0
1582059655.708,44.922,82.031,21.973,21.973,0
1582059655.712,0.488,-44.434,9.766,-5.859,0
1582059655.716,-18.066,-388.672,19.531,-31.738,0
1582059655.719,-16.113,-388.672,30.762,-43.457,0
1582059655.723,3.418,11.719,21.973,-31.250,0
1582059655.727,-23.438,105.957,9.277,-44.922,0
1582059655.731,-27.832,5.371,9.766,-76.172,0
1582059655.735,-16.602,75.684,14.160,-84.961,0
1582059655.738,-18.555,191.406,16.113,-57.617,0
1582059655.742,-8.789,133.301,14.160,-28.320,0
1582059655.746,-3.906,-53.223,4.883,-40.039,0
1582059655.750,0.000,-35.645,6.348,-44.434,0
1582059655.754,-2.930,113.770,8.789,-37.109,0
1582059655.758,10.254,-83.008,7.324,-36.621,0
1582059655.762,3.418,-426.758,8.789,-30.273,0
1582059655.765,5.859,-238.281,18.555,-28.320,0
1582059655.769,20.996,54.688,23.438,-25.391,0
1582059655.773,8.789,12.695,14.648,-24.414,0
1582059655.777,7.812,-37.598,12.695,-25.879,0
1582059655.781,5.371,30.273,19.043,-21.973,0
1582059655.797,23.926,158.691,24.902,-4.883,0
1582059655.801,37.598,39.062,24.414,-4.883,0
1582059655.805,17.578,-92.773,24.414,-7.812,0
1582059655.809,28.320,-39.551,23.926,-7.812,0
1582059655.813,18.555,-4.395,22.949,-5.371,0
1582059655.817,15.137,-145.020,17.090,-13.672,0
1582059655.821,9.766,-284.668,20.508,-24.902,0
1582059655.824,-6.836,-103.027,24.414,-11.719,0
1582059655.828,31.738,92.285,18.555,-10.742,0
1582059655.832,30.762,-107.910,21.973,-13.184,0
1582059655.836,5.859,-233.398,32.715,-13.184,0
1582059655.840,10.254,13.184,32.715,-18.555,0
1582059655.842,12.207,41.016,22.949,-7.812,0
1582059655.846,26.367,-21.484,24.414,5.371,0
1582059655.850,21.484,21.484,26.367,-3.418,0
1582059655.854,20.508,8.789,26.855,-1.465,0
1582059655.858,24.414,-77.148,25.391,0.488,0
1582059655.862,24.902,-84.473,23.926,-0.488,0
1582059655.866,28.809,-157.227,27.832,-17.090,0
1582059655.869,14.160,-108.398,26.367,-16.113,0
1582059655.873,12.695,-117.676,21.484,5.371,0
1582059655.877,20.996,-324.707,28.809,-19.043,0
1582059655.881,4.883,-76.172,40.039,-31.738,0
1582059655.885,-8.301,134.766,39.551,-8.789,0
1582059655.887,10.254,-10.742,28.320,-14.648,0
1582059655.891,19.531,2.441,27.344,-14.648,0
1582059655.895,22.949,155.273,33.203,-0.488,0
1582059655.899,25.879,62.500,29.297,1.953,0
1582059655.903,18.555,-90.820,22.949,-6.348,0
1582059655.907,16.113,-184.570,26.855,-4.883,0
1582059655.911,27.344,-188.965,36.133,-11.230,0
1582059655.914,22.461,19.531,40.527,-6.836,0
1582059655.918,4.395,-181.641,28.320,-1.953,0
1582059655.922,17.090,-353.027,29.785,-3.418,0
1582059655.926,32.715,49.316,40.527,3.906,0
1582059655.930,36.621,135.254,36.621,1.953,0
1582059655.932,44.434,-41.992,31.738,5.371,0
1582059655.936,46.387,-10.742,34.668,8.301,0
1582059655.940,44.434,127.930,34.668,2.441,0
1582059655.944,46.875,69.824,28.320,-2.441,0
1582059655.948,29.785,-20.996,30.762,1.953,0
1582059655.952,29.297,-157.227,37.598,9.277,0
1582059655.956,54.199,-181.152,35.645,17.090,0
1582059655.959,59.570,-17.578,32.227,8.789,0
1582059655.963,52.246,-209.961,34.668,0.977,0
1582059655.967,42.969,-148.926,38.574,9.277,0
1582059655.971,40.039,108.887,35.645,12.207,0
1582059655.975,32.715,92.285,34.668,-1.465,0
1582059655.978,21.973,44.434,40.039,-1.953,0
1582059655.982,32.715,86.426,42.480,19.043,0
1582059655.986,38.574,25.879,38.574,-0.977,0
1582059655.990,29.297,-37.598,32.227,-4.883,0
1582059655.994,23.438,32.715,37.598,19.043,0
1582059655.998,36.621,-122.559,39.062,0.000,0
1582059656.002,38.574,-137.695,38.086,-11.230,0
1582059656.005,33.203,-168.457,45.410,-9.766,0
1582059656.009,35.156,-263.672,45.898,-11.719,0
1582059656.013,41.016,12.207,38.574,-3.418,0
1582059656.017,38.574,86.426,36.621,-12.207,0
1582059656.021,31.250,16.602,36.621,4.883,0
1582059656.022,34.180,64.453,36.621,20.508,0
1582059656.026,42.969,127.930,38.086,-15.625,0
1582059656.030,27.344,53.223,39.551,-22.949,0
1582059656.034,12.695,-89.355,35.156,-7.812,0
1582059656.038,36.133,-78.613,34.180,-11.719,0
1582059656.042,34.668,-137.207,39.551,-23.438,0
1582059656.046,5.371,-342.773,40.039,-36.133,0
1582059656.049,-4.395,-542.969,36.621,-47.852,0
1582059656.053,-0.488,-373.047,31.738,-56.152,0
1582059656.057,-10.742,-42.969,33.203,-51.758,0
1582059656.061,-22.461,-79.102,33.203,-62.988,0
