timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1556031792.933,184.082,126.953,-83.496,-7.812,-7.812,0
1556031792.937,-4.883,48.340,-142.578,10.254,31.250,0
1556031792.941,-64.941,-137.207,-300.781,4.395,55.664,0
1556031792.945,110.840,-117.676,-306.152,-7.324,-10.254,0
1556031792.949,180.176,115.234,-103.027,-6.836,10.254,0
1556031792.953,22.461,-18.555,-202.637,-0.488,55.664,0
1556031792.957,-88.379,-429.688,-562.988,-2.930,23.438,0
1556031792.960,45.410,-439.453,-583.008,-15.625,59.082,0
1556031792.964,195.801,-36.133,-250.000,-11.230,30.762,0
1556031792.968,87.402,66.406,-154.785,-6.836,20.020,0
1556031792.972,-70.801,-186.523,-369.629,-9.277,29.785,0
1556031792.976,15.137,-184.570,-375.488,-24.902,44.434,0
1556031792.978,180.176,-24.414,-234.375,-31.250,64.453,0
1556031792.982,133.301,-51.270,-262.695,-39.062,13.672,0
1556031792.986,-41.504,-222.168,-415.039,-33.203,6.836,0
1556031792.990,-39.062,-236.816,-434.082,-31.250,59.082,0
1556031792.994,132.324,8.789,-220.703,-41.016,97.656,0
1556031792.998,166.016,-38.086,-250.000,-23.926,53.223,0
1556031793.002,-16.602,-530.762,-679.688,-21.484,-14.648,0
1556031793.005,-96.680,-550.781,-708.984,-27.344,32.227,0
1556031793.009,88.379,-105.957,-329.102,-12.207,23.926,0
1556031793.013,206.055,-38.574,-256.348,-6.348,-23.438,0
1556031793.017,40.039,-160.645,-350.098,-10.742,10.254,0
1556031793.021,-94.727,-175.293,-361.816,15.137,59.570,0
1556031793.038,46.387,-103.027,-308.105,11.230,20.020,0
1556031793.042,182.617,-24.902,-235.840,-16.113,23.926,0
1556031793.046,84.961,-56.152,-255.371,-11.719,52.246,0
1556031793.050,-66.406,-290.039,-475.098,-2.441,-25.879,0
1556031793.054,-2.441,-319.336,-514.160,5.859,-23.438,0
1556031793.058,169.434,-261.230,-454.590,5.859,-5.859,0
1556031793.062,151.855,-360.840,-534.180,4.883,14.160,0
1556031793.065,-21.484,-232.422,-428.223,19.531,42.969,0
1556031793.069,-25.391,-153.320,-356.445,26.855,22.461,0
1556031793.073,136.230,-123.047,-326.660,36.621,18.555,0
1556031793.077,168.945,17.090,-199.219,25.879,50.781,0
1556031793.081,5.371,45.410,-166.016,22.461,80.566,0
1556031793.083,-78.125,-125.000,-310.547,35.156,47.363,0
1556031793.087,85.938,-126.465,-322.754,14.160,18.066,0
1556031793.091,199.219,79.102,-140.625,10.254,53.223,0
1556031793.095,53.223,73.242,-135.254,30.762,37.598,0
1556031793.099,-101.562,-145.020,-325.684,39.062,2.930,0
1556031793.103,9.277,-254.883,-432.129,13.672,-19.043,0
1556031793.107,173.828,-167.480,-362.793,11.719,-21.484,0
1556031793.110,111.816,-62.500,-268.066,35.645,4.883,0
1556031793.114,-69.824,-116.699,-307.617,41.016,24.902,0
1556031793.118,-47.363,-358.398,-509.766,37.109,90.332,0
1556031793.122,160.645,-191.895,-387.207,25.391,57.129,0
1556031793.126,166.504,109.375,-136.230,18.555,-22.461,0
1556031793.128,-47.363,-74.707,-281.250,41.504,22.949,0
1556031793.132,-77.637,-200.195,-393.555,44.434,45.410,0
1556031793.136,127.441,26.367,-208.008,38.086,35.645,0
1556031793.140,181.152,182.129,-65.918,42.480,34.668,0
1556031793.144,-3.906,-24.414,-236.328,20.508,32.715,0
1556031793.148,-103.027,-324.707,-501.465,19.531,7.324,0
1556031793.152,56.152,-289.062,-490.234,20.020,-7.812,0
1556031793.155,201.172,47.363,-201.660,21.973,8.301,0
1556031793.159,75.684,-90.332,-298.828,21.973,9.766,0
1556031793.163,-89.355,-445.801,-601.562,26.367,44.434,0
1556031793.167,18.066,-112.793,-330.078,28.809,81.055,0
1556031793.171,187.500,154.297,-89.844,25.879,31.250,0
1556031793.173,124.023,33.203,-192.871,21.484,-18.066,0
1556031793.177,-54.688,-105.469,-312.988,35.156,22.461,0
1556031793.181,-10.742,-77.148,-291.504,38.574,36.133,0
1556031793.185,186.035,70.801,-166.016,13.184,28.809,0
1556031793.189,187.012,81.055,-150.391,15.625,20.508,0
1556031793.193,0.977,-198.730,-395.996,29.297,-3.418,0
1556031793.197,-47.363,-291.504,-484.863,42.969,26.855,0
1556031793.200,112.793,9.277,-218.750,43.945,82.031,0
1556031793.204,185.059,-95.215,-288.086,38.574,76.172,0
1556031793.208,31.738,-234.375,-422.852,33.203,29.785,0
1556031793.212,-83.496,-76.172,-295.410,35.645,27.344,0
1556031793.216,67.383,-81.543,-294.922,34.180,20.996,0
1556031793.218,199.707,-56.641,-275.879,27.344,5.859,0
1556031793.222,80.078,60.547,-165.527,24.902,54.688,0
1556031793.226,-68.359,-48.340,-259.766,33.691,0.977,0
1556031793.230,15.625,-181.152,-378.418,32.715,5.371,0
1556031793.234,193.359,39.062,-174.316,32.715,101.562,0
1556031793.238,147.461,57.617,-156.250,36.133,61.035,0
1556031793.242,-56.641,-131.348,-328.125,32.715,40.527,0
1556031793.245,-59.082,-262.207,-438.965,33.203,55.176,0
1556031793.249,124.023,-271.484,-449.707,29.297,55.664,0
1556031793.253,166.504,69.336,-159.180,22.461,39.551,0
1556031793.257,-5.371,28.320,-188.477,19.531,-11.230,0
1556031793.261,-71.289,-166.504,-360.352,26.367,-1.465,0
1556031793.263,101.562,-51.270,-262.695,20.020,2.930,0
1556031793.267,175.781,140.137,-94.238,25.879,-22.949,0
1556031793.271,25.391,93.262,-121.582,31.250,25.391,0
1556031793.275,-94.238,-142.090,-323.730,35.156,49.805,0
1556031793.279,43.945,-73.242,-271.484,26.855,49.316,0
1556031793.283,198.730,24.902,-184.082,26.367,15.625,0
1556031793.287,108.398,-31.738,-225.586,39.062,12.695,0
