timestamps,TP9,AF7,AF8,TP10,Marker0
1582736789.178,36.133,21.973,18.066,47.852,0
1582736789.182,33.203,22.949,14.160,51.270,0
1582736789.186,41.504,36.133,10.742,57.617,0
1582736789.190,56.641,42.480,11.230,57.617,0
1582736789.194,42.969,33.203,16.602,52.734,0
1582736789.198,26.367,21.484,19.043,50.781,0
1582736789.202,24.414,19.531,16.113,45.410,0
1582736789.205,32.715,26.855,17.090,43.945,0
1582736789.209,32.227,25.391,16.113,43.945,0
1582736789.213,18.066,20.508,15.137,39.062,0
1582736789.217,21.973,25.391,17.578,46.387,0
1582736789.221,19.531,24.902,14.160,41.504,0
1582736789.223,29.297,21.973,7.812,45.410,0
1582736789.227,27.832,23.926,13.672,54.199,0
1582736789.231,-0.977,23.438,27.344,30.762,0
1582736789.235,-13.672,20.996,35.156,16.113,0
1582736789.239,-8.301,19.531,34.668,22.461,0
1582736789.243,0.977,19.043,32.227,26.855,0
1582736789.247,-3.418,20.020,33.691,23.926,0
1582736789.250,-18.066,17.090,38.086,22.461,0
1582736789.254,-11.230,14.648,39.062,27.344,0
1582736789.258,-2.441,17.578,32.715,24.902,0
1582736789.262,-0.977,20.020,27.832,25.879,0
1582736789.266,-1.953,19.043,27.344,25.879,0
1582736789.268,9.766,17.578,24.902,20.508,0
1582736789.272,14.160,19.531,29.297,29.785,0
1582736789.276,9.277,20.020,32.227,38.086,0
1582736789.280,16.113,17.578,25.391,36.621,0
1582736789.284,32.227,19.043,24.902,42.969,0
1582736789.288,28.320,21.973,24.902,46.387,0
1582736789.292,25.879,20.508,23.926,43.457,0
1582736789.295,31.738,18.555,25.391,48.828,0
1582736789.299,21.973,20.020,23.926,52.246,0
1582736789.303,27.832,20.996,19.043,48.340,0
1582736789.307,35.645,19.043,21.484,49.805,0
1582736789.311,35.645,23.926,26.367,53.711,0
1582736789.313,36.621,23.926,25.391,52.246,0
1582736789.317,40.039,19.043,27.344,55.176,0
1582736789.321,41.992,21.973,32.715,56.152,0
1582736789.325,45.898,15.625,33.203,51.270,0
1582736789.329,52.246,20.996,23.926,51.270,0
