timestamps,TP9,AF7,AF8,TP10,Marker0
1582744543.464,31.250,25.391,21.973,30.762,0
1582744543.468,16.113,26.855,20.508,24.414,0
1582744543.472,14.648,20.508,27.344,29.785,0
1582744543.476,22.949,22.461,26.367,31.738,0
1582744543.480,20.020,25.879,24.414,32.715,0
1582744543.484,17.090,25.391,22.949,28.320,0
1582744543.488,18.066,21.484,17.090,22.949,0
1582744543.491,23.926,17.578,18.555,22.949,0
1582744543.495,21.973,20.508,23.438,19.531,0
1582744543.499,21.973,22.461,22.949,20.508,0
1582744543.503,25.879,19.531,20.996,25.879,0
1582744543.507,22.461,16.602,22.949,30.273,0
1582744543.509,21.484,13.184,24.414,24.902,0
1582744543.513,18.066,11.719,24.414,28.320,0
1582744543.517,21.973,14.648,26.367,31.250,0
1582744543.521,35.156,21.484,27.832,27.344,0
1582744543.525,27.344,25.391,28.809,31.738,0
1582744543.529,18.066,21.484,26.855,22.461,0
1582744543.533,25.391,17.578,26.855,25.879,0
1582744543.536,30.273,19.531,26.367,22.949,0
1582744543.540,26.855,19.043,24.902,24.414,0
1582744543.544,25.391,20.020,26.367,38.086,0
1582744543.548,38.086,25.879,23.926,36.133,0
1582744543.552,37.598,23.438,20.508,28.809,0
1582744543.554,28.320,18.555,22.461,26.367,0
1582744543.558,27.344,16.113,24.414,24.902,0
1582744543.562,22.949,16.602,21.973,21.973,0
1582744543.566,15.625,23.438,17.090,17.578,0
1582744543.570,13.672,27.832,19.043,15.137,0
1582744543.574,20.508,26.367,24.414,27.832,0
1582744543.578,20.996,26.367,25.879,32.715,0
1582744543.581,17.090,23.438,26.855,21.484,0
1582744543.585,17.090,16.602,24.902,21.484,0
1582744543.589,26.855,13.184,24.414,21.973,0
1582744543.593,34.180,14.648,22.949,25.391,0
1582744543.597,21.973,18.555,23.438,32.715,0
1582744543.599,27.344,23.438,26.367,23.438,0
1582744543.603,26.367,24.902,26.367,22.949,0
1582744543.607,8.789,22.461,23.926,14.160,0
1582744543.611,17.090,24.414,22.949,16.113,0
1582744543.615,26.855,31.738,26.367,21.484,0
1582744543.619,38.086,41.016,39.062,36.133,0
1582744543.623,38.086,40.527,40.527,37.598,0
1582744543.626,5.371,21.973,26.855,0.977,0
1582744543.630,-6.348,20.020,21.973,-11.719,0
1582744543.634,-3.906,31.250,23.926,-9.766,0
1582744543.638,-10.254,53.223,34.668,-7.324,0
1582744543.642,-22.461,58.105,41.016,-21.973,0
1582744543.644,-73.242,36.621,31.738,-70.312,0
1582744543.648,-111.328,35.156,28.320,-105.957,0
1582744543.652,-137.207,44.922,32.715,-131.348,0
1582744543.656,-154.297,58.105,33.203,-166.992,0
1582744543.660,-184.570,69.824,33.691,-196.777,0
1582744543.664,-223.145,76.172,38.574,-222.656,0
1582744543.668,-218.750,81.055,32.715,-237.793,0
1582744543.671,-228.027,82.031,24.414,-245.605,0
1582744543.675,-220.215,75.195,36.133,-238.770,0
1582744543.679,-200.195,76.172,41.992,-229.004,0
1582744543.683,-185.547,74.707,40.039,-216.309,0
1582744543.687,-162.109,66.406,39.062,-176.758,0
1582744543.704,-145.508,70.801,31.738,-162.598,0
1582744543.708,-123.535,72.266,26.855,-156.250,0
1582744543.712,-92.773,66.406,35.645,-113.770,0
1582744543.716,-76.172,60.059,31.250,-86.426,0
1582744543.720,-67.871,55.176,19.531,-81.055,0
1582744543.724,-54.199,49.316,20.508,-74.707,0
1582744543.728,-30.762,41.992,17.578,-48.340,0
1582744543.731,-12.695,33.203,14.648,-25.879,0
1582744543.735,4.883,35.645,14.648,-14.648,0
1582744543.739,6.348,39.551,12.207,-11.719,0
1582744543.743,18.555,33.203,14.648,-3.906,0
1582744543.747,49.805,33.691,13.672,23.926,0
1582744543.750,55.664,32.715,10.742,41.504,0
1582744543.754,59.082,25.879,8.301,43.945,0
1582744543.758,60.547,20.020,7.812,45.898,0
1582744543.762,71.777,16.602,12.207,53.223,0
1582744543.766,88.867,13.672,10.254,67.383,0
1582744543.770,86.914,9.277,7.324,77.148,0
1582744543.774,91.309,6.348,12.695,79.102,0
1582744543.777,96.680,10.254,17.578,88.867,0
1582744543.781,94.238,9.277,15.137,86.914,0
1582744543.785,91.309,2.930,14.648,86.914,0
1582744543.789,88.379,4.883,15.137,98.633,0
1582744543.793,87.891,7.812,10.742,95.703,0
1582744543.794,92.285,0.488,9.277,99.121,0
1582744543.798,96.680,-1.953,12.207,104.004,0
1582744543.802,101.562,6.836,17.578,94.238,0
1582744543.806,96.680,4.883,19.043,101.562,0
1582744543.810,95.215,0.488,20.508,110.352,0
1582744543.814,98.145,6.348,20.020,103.516,0
1582744543.818,98.145,16.113,16.602,95.703,0
1582744543.821,96.191,11.230,18.066,94.727,0
1582744543.825,97.656,2.930,22.949,96.191,0
1582744543.829,103.516,5.371,24.902,104.980,0
1582744543.833,101.562,11.719,25.879,107.422,0
1582744543.837,95.703,16.602,25.879,93.750,0
1582744543.840,94.238,13.184,24.414,94.727,0
1582744543.844,97.656,13.184,20.020,100.586,0
1582744543.848,94.238,13.184,18.555,102.051,0
1582744543.852,96.680,10.742,21.484,101.562,0
1582744543.856,92.285,11.230,22.949,95.215,0
1582744543.860,87.402,10.254,23.438,90.820,0
1582744543.864,93.750,10.254,22.949,99.609,0
1582744543.867,92.773,13.184,20.996,93.750,0
1582744543.871,88.867,13.184,18.066,75.684,0
1582744543.875,109.863,16.602,19.043,83.008,0
1582744543.879,118.652,19.043,24.414,85.449,0
1582744543.883,111.328,19.531,26.367,69.824,0
1582744543.885,111.328,17.090,28.320,74.707,0
1582744543.889,97.656,14.648,29.785,81.543,0
1582744543.893,80.078,18.066,26.367,79.590,0
1582744543.897,63.965,14.648,24.902,84.961,0
1582744543.901,41.016,15.137,26.367,82.520,0
1582744543.905,43.457,18.555,28.320,83.008,0
