,timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
0,1581350871.945,64.453,-19.043,-972.168,176.27,0.0,0
1,1581350871.949,72.266,-17.578,-972.6560000000001,-997.07,0.0,0
2,1581350871.9529998,52.733999999999995,-16.602,-972.6560000000001,-925.293,0.0,0
3,1581350871.957,36.621,-15.137,-972.168,-926.758,0.0,0
4,1581350871.961,28.809,-14.16,-972.168,-959.4730000000001,0.0,0
5,1581350871.965,43.945,-12.695,-972.6560000000001,-1000.0,0.0,0
6,1581350871.9689999,75.195,-19.043,-972.168,436.523,0.0,0
7,1581350871.9720001,58.105,-21.973000000000003,-972.168,506.348,0.0,0
8,1581350871.976,30.273000000000003,-16.113,-972.168,-740.7230000000001,0.0,0
9,1581350871.98,29.785,-18.555,-972.6560000000001,42.48,0.0,0
10,1581350871.984,33.203,-19.043,-972.168,-314.453,0.0,0
11,1581350871.988,26.855,-20.02,-972.168,-930.664,0.0,0
12,1581350871.99,26.855,-19.043,-972.6560000000001,-1000.0,0.0,0
13,1581350871.994,27.344,-23.438000000000002,-972.6560000000001,-462.89099999999996,0.0,0
14,1581350871.998,30.761999999999997,-20.02,-972.168,807.1289999999999,0.0,0
15,1581350872.002,31.25,-10.742,-972.6560000000001,-73.73,0.0,0
16,1581350872.006,21.973000000000003,-19.531,-972.6560000000001,-1000.0,0.0,0
17,1581350872.01,24.901999999999997,-27.831999999999997,-972.6560000000001,-940.918,0.0,0
18,1581350872.014,24.414,-21.484,-972.168,-915.5269999999999,0.0,0
19,1581350872.0170002,11.719000000000001,-8.301,-972.168,308.105,0.0,0
20,1581350872.0210001,16.602,0.0,-972.168,-722.168,0.0,0
21,1581350872.025,11.23,2.93,-972.6560000000001,404.785,0.0,0
22,1581350872.029,10.254000000000001,6.836,-972.6560000000001,-809.57,0.0,0
23,1581350872.033,20.02,10.254000000000001,-972.6560000000001,395.996,0.0,0
24,1581350872.05,21.973000000000003,8.301,-972.6560000000001,-840.82,0.0,0
25,1581350872.054,24.414,5.859,-972.168,921.387,0.0,0
26,1581350872.0579998,40.039,9.766,-972.168,-994.1410000000001,0.0,0
27,1581350872.062,42.48,12.695,-972.168,999.512,0.0,0
28,1581350872.066,36.621,15.137,-972.6560000000001,999.512,0.0,0
29,1581350872.07,50.293,17.09,-972.168,999.512,0.0,0
30,1581350872.074,77.637,22.949,-972.6560000000001,999.512,0.0,0
31,1581350872.0770001,73.73,26.366999999999997,-972.168,999.512,0.0,0
32,1581350872.081,40.039,16.113,-972.168,999.512,0.0,0
33,1581350872.085,33.691,9.766,-972.168,999.512,0.0,0
34,1581350872.089,34.668,14.16,-972.168,-999.512,0.0,0
35,1581350872.093,17.578,15.137,-972.6560000000001,990.2339999999999,0.0,0
36,1581350872.095,17.09,8.789,-972.6560000000001,955.566,0.0,0
37,1581350872.099,-3.418,2.441,-972.6560000000001,-840.332,0.0,0
38,1581350872.103,-3.906,0.488,-972.168,-63.477,0.0,0
39,1581350872.107,11.719000000000001,4.883,-972.168,-219.238,0.0,0
40,1581350872.111,-3.418,3.418,-972.6560000000001,-979.0039999999999,0.0,0
41,1581350872.115,-20.508000000000003,-8.789,-972.6560000000001,-858.887,0.0,0
42,1581350872.119,-30.273000000000003,-8.789,-972.168,-20.508000000000003,0.0,0
43,1581350872.1220002,-19.531,4.395,-972.168,-645.508,0.0,0
44,1581350872.1260002,-7.812,7.324,-972.168,-302.246,0.0,0
45,1581350872.13,5.371,6.348,-972.168,-946.7769999999999,0.0,0
46,1581350872.1339998,17.578,14.16,-972.168,-1000.0,0.0,0
47,1581350872.1379998,2.93,9.277000000000001,-972.168,-575.684,0.0,0
48,1581350872.14,-4.883,4.883,-972.6560000000001,723.633,0.0,0
49,1581350872.144,11.23,9.277000000000001,-972.6560000000001,508.789,0.0,0
50,1581350872.1479998,-8.789,8.301,-972.168,653.32,0.0,0
51,1581350872.1520002,-16.113,6.836,-972.168,-904.785,0.0,0
52,1581350872.1560001,-9.277000000000001,3.418,-972.6560000000001,964.8439999999999,0.0,0
53,1581350872.16,13.672,2.441,-972.168,-990.7230000000001,0.0,0
54,1581350872.164,34.668,11.719000000000001,-972.6560000000001,984.863,0.0,0
55,1581350872.167,9.766,17.578,-972.6560000000001,967.285,0.0,0
56,1581350872.171,3.418,11.719000000000001,-972.168,-934.57,0.0,0
57,1581350872.175,25.391,15.137,-972.168,20.02,0.0,0
58,1581350872.179,23.926,22.949,-972.6560000000001,-1000.0,0.0,0
59,1581350872.1829998,3.906,20.508000000000003,-972.6560000000001,-912.1089999999999,0.0,0
60,1581350872.185,21.484,13.184000000000001,-972.6560000000001,70.801,0.0,0
61,1581350872.189,37.109,17.09,-972.168,-954.59,0.0,0
62,1581350872.1929998,30.761999999999997,24.414,-972.168,983.398,0.0,0
63,1581350872.197,36.133,17.578,-972.6560000000001,958.4960000000001,0.0,0
64,1581350872.201,35.156,19.531,-972.168,-970.703,0.0,0
65,1581350872.205,30.273000000000003,20.508000000000003,-972.168,993.164,0.0,0
66,1581350872.2089999,59.082,23.438000000000002,-972.6560000000001,583.496,0.0,0
67,1581350872.2120001,78.125,24.414,-972.168,854.0039999999999,0.0,0
68,1581350872.216,43.457,18.066,-972.168,-958.008,0.0,0
69,1581350872.22,10.742,29.785,-972.168,892.09,0.0,0
70,1581350872.224,36.133,35.156,-972.6560000000001,-987.793,0.0,0
71,1581350872.228,44.434,23.926,-972.168,322.26599999999996,0.0,0
72,1581350872.23,62.012,23.438000000000002,-972.168,128.906,0.0,0
73,1581350872.234,52.246,23.438000000000002,-972.168,-140.137,0.0,0
74,1581350872.238,43.457,14.648,-972.168,-1000.0,0.0,0
75,1581350872.242,59.082,15.625,-972.168,-968.262,0.0,0
76,1581350872.246,65.43,12.695,-972.168,-954.59,0.0,0
77,1581350872.25,50.781000000000006,7.812,-972.168,-966.797,0.0,0
78,1581350872.254,29.296999999999997,17.09,-972.168,-925.7810000000001,0.0,0
79,1581350872.2570002,44.922,14.648,-972.168,-1000.0,0.0,0
80,1581350872.2610002,39.062,11.719000000000001,-972.168,-50.293,0.0,0
81,1581350872.265,28.809,24.414,-972.6560000000001,-907.715,0.0,0
82,1581350872.269,66.895,20.508000000000003,-972.6560000000001,967.285,0.0,0
83,1581350872.2729998,63.477,10.254000000000001,-972.6560000000001,981.445,0.0,0
84,1581350872.276,29.296999999999997,10.742,-972.6560000000001,-996.0939999999999,0.0,0
85,1581350872.28,24.414,11.719000000000001,-972.168,-1000.0,0.0,0
86,1581350872.284,12.207,2.441,-972.168,936.523,0.0,0
87,1581350872.2879999,8.301,3.418,-972.168,-861.816,0.0,0
88,1581350872.292,13.184000000000001,8.789,-972.168,213.86700000000002,0.0,0
89,1581350872.296,20.508000000000003,7.324,-972.168,-1000.0,0.0,0
90,1581350872.3,30.273000000000003,3.418,-972.168,-967.773,0.0,0
91,1581350872.303,49.316,-0.977,-972.168,-941.4060000000001,0.0,0
92,1581350872.3070002,58.105,7.324,-972.168,-182.12900000000002,0.0,0
93,1581350872.311,19.043,12.695,-972.168,-518.555,0.0,0
94,1581350872.315,41.016000000000005,1.953,-972.168,-258.301,0.0,0
95,1581350872.319,47.363,-6.348,-972.6560000000001,-864.258,0.0,0
96,1581350872.323,27.344,9.277000000000001,-972.168,207.03099999999998,0.0,0
97,1581350872.3270001,33.691,9.277000000000001,-972.168,252.93,0.0,0
98,1581350872.331,11.719000000000001,-2.93,-972.6560000000001,-880.3710000000001,0.0,0
99,1581350872.335,20.508000000000003,-0.488,-972.168,972.6560000000001,0.0,0
100,1581350872.339,31.25,2.93,-972.168,982.91,0.0,0
101,1581350872.343,30.273000000000003,-3.906,-972.6560000000001,959.4730000000001,0.0,0
102,1581350872.3470001,34.18,-8.789,-972.168,769.5310000000001,0.0,0
103,1581350872.35,29.296999999999997,-5.371,-972.168,-74.219,0.0,0
104,1581350872.3539999,52.733999999999995,7.812,-972.168,-1000.0,0.0,0
105,1581350872.3579998,92.285,4.395,-972.168,-285.645,0.0,0
106,1581350872.3620002,81.055,-3.906,-972.168,996.582,0.0,0
107,1581350872.3660002,39.062,0.488,-972.168,-820.801,0.0,0
108,1581350872.3660002,31.738000000000003,-4.883,-972.6560000000001,105.469,0.0,0
109,1581350872.37,43.457,-10.742,-972.168,-72.266,0.0,0
110,1581350872.3739998,7.812,-12.207,-972.168,-886.23,0.0,0
111,1581350872.3779998,10.254000000000001,-14.16,-972.168,979.98,0.0,0
112,1581350872.3820002,0.0,-17.09,-972.168,871.582,0.0,0
113,1581350872.3860002,0.488,-20.508000000000003,-972.168,-912.5980000000001,0.0,0
114,1581350872.39,41.016000000000005,-16.113,-972.168,578.125,0.0,0
115,1581350872.393,25.391,-0.977,-972.168,-654.297,0.0,0
116,1581350872.397,31.25,2.93,-972.168,-917.9689999999999,0.0,0
117,1581350872.401,31.25,-1.953,-972.168,-948.242,0.0,0
118,1581350872.405,30.761999999999997,-6.348,-972.6560000000001,-975.0980000000001,0.0,0
119,1581350872.409,45.41,-4.395,-972.168,-974.1210000000001,0.0,0
120,1581350872.426,46.387,-7.812,-972.168,-972.168,0.0,0
121,1581350872.43,37.109,-12.207,-972.6560000000001,-972.168,0.0,0
122,1581350872.434,17.09,-5.859,-972.168,-985.352,0.0,0
123,1581350872.438,-2.441,-6.348,-972.168,-900.8789999999999,0.0,0
124,1581350872.4420002,13.184000000000001,-16.113,-972.168,-1000.0,0.0,0
125,1581350872.446,19.531,-18.555,-972.168,-540.039,0.0,0
126,1581350872.45,3.906,-15.137,-972.168,816.895,0.0,0
127,1581350872.4529998,25.879,-8.301,-972.168,936.523,0.0,0
128,1581350872.457,43.945,-11.719000000000001,-972.168,828.613,0.0,0
129,1581350872.461,21.973000000000003,-18.555,-972.6560000000001,908.203,0.0,0
130,1581350872.465,-1.465,-16.113,-972.168,973.633,0.0,0
131,1581350872.4689999,11.23,-16.113,-972.6560000000001,-999.512,0.0,0
132,1581350872.47,23.926,-19.043,-972.6560000000001,-997.559,0.0,0
133,1581350872.474,32.715,-17.09,-972.6560000000001,971.68,0.0,0
134,1581350872.478,52.733999999999995,-17.09,-972.6560000000001,-976.074,0.0,0
135,1581350872.482,41.992,-19.531,-972.168,-971.191,0.0,0
136,1581350872.486,28.32,-25.391,-972.168,208.00799999999998,0.0,0
137,1581350872.49,20.996,-29.296999999999997,-972.168,756.836,0.0,0
138,1581350872.494,34.668,-21.973000000000003,-972.168,750.977,0.0,0
139,1581350872.4970002,22.461,-16.602,-972.168,-367.18800000000005,0.0,0
140,1581350872.5010002,26.366999999999997,-27.831999999999997,-972.6560000000001,714.355,0.0,0
141,1581350872.505,51.27,-27.344,-972.6560000000001,-918.457,0.0,0
142,1581350872.5089998,24.414,-17.09,-972.6560000000001,-962.4019999999999,0.0,0
143,1581350872.5129998,30.273000000000003,-26.855,-972.168,688.965,0.0,0
144,1581350872.516,38.086,-31.25,-972.168,312.5,0.0,0
145,1581350872.52,25.391,-28.32,-972.168,976.074,0.0,0
146,1581350872.524,38.574,-23.438000000000002,-972.168,-894.5310000000001,0.0,0
147,1581350872.5279999,49.316,-20.508000000000003,-972.168,-228.516,0.0,0
148,1581350872.532,43.945,-25.391,-972.168,-893.066,0.0,0
149,1581350872.536,37.109,-22.949,-972.6560000000001,-571.7769999999999,0.0,0
150,1581350872.54,43.945,-19.043,-972.168,-992.188,0.0,0
151,1581350872.543,43.457,-20.02,-972.168,-914.551,0.0,0
152,1581350872.5470002,54.688,-20.02,-972.6560000000001,-1000.0,0.0,0
153,1581350872.551,44.434,-18.555,-972.168,-506.836,0.0,0
154,1581350872.555,37.109,-11.23,-972.6560000000001,-939.941,0.0,0
155,1581350872.559,38.086,-11.719000000000001,-972.168,31.25,0.0,0
156,1581350872.561,31.738000000000003,-18.555,-972.168,-713.867,0.0,0
157,1581350872.565,49.316,-19.043,-972.6560000000001,-485.352,0.0,0
158,1581350872.569,51.27,-11.23,-972.168,-1000.0,0.0,0
159,1581350872.573,16.113,-21.484,-972.168,-962.4019999999999,0.0,0
160,1581350872.5770001,16.113,-29.785,-972.168,-967.285,0.0,0
161,1581350872.581,46.387,-22.461,-972.168,-979.492,0.0,0
162,1581350872.585,62.988,-8.789,-972.168,-927.2460000000001,0.0,0
163,1581350872.5879998,40.039,-16.113,-972.168,-1000.0,0.0,0
164,1581350872.592,20.996,-26.366999999999997,-972.168,-863.2810000000001,0.0,0
165,1581350872.596,30.761999999999997,-6.348,-972.168,201.66,0.0,0
166,1581350872.6,31.25,-7.812,-972.6560000000001,-380.85900000000004,0.0,0
167,1581350872.6039999,38.574,-17.578,-972.168,-1000.0,0.0,0
168,1581350872.606,27.344,-15.625,-972.168,-911.6210000000001,0.0,0
169,1581350872.61,-4.883,-19.043,-972.168,-985.84,0.0,0
170,1581350872.6139998,11.719000000000001,-19.043,-972.168,-914.062,0.0,0
171,1581350872.6179998,16.602,-20.508000000000003,-972.168,-1000.0,0.0,0
172,1581350872.6220002,20.996,-20.996,-972.168,-297.85200000000003,0.0,0
173,1581350872.6260002,31.738000000000003,-18.555,-972.168,-9.766,0.0,0
174,1581350872.63,26.366999999999997,-16.113,-972.168,-1000.0,0.0,0
175,1581350872.633,18.555,-30.761999999999997,-972.6560000000001,-924.316,0.0,0
176,1581350872.637,31.738000000000003,-20.02,-972.168,-1000.0,0.0,0
177,1581350872.641,53.223,-6.348,-972.6560000000001,-51.758,0.0,0
178,1581350872.645,44.434,-13.184000000000001,-972.168,-796.875,0.0,0
179,1581350872.649,42.968999999999994,-15.625,-972.168,-365.23400000000004,0.0,0
180,1581350872.651,41.016000000000005,-22.461,-972.168,-365.23400000000004,0.0,0
