,timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
0,1581359759.6320002,3.906,7.812,25.879,24.414,0.0,0
1,1581359759.6360002,-3.906,1.465,34.18,23.438000000000002,0.0,0
2,1581359759.64,0.488,-6.348,47.852,24.901999999999997,0.0,0
3,1581359759.644,14.16,4.395,48.34,40.039,0.0,0
4,1581359759.6479998,-8.301,0.488,21.973000000000003,16.602,0.0,0
5,1581359759.6520002,-9.766,2.441,8.789,20.02,0.0,0
6,1581359759.6560001,1.465,16.602,18.555,35.645,0.0,0
7,1581359759.659,15.137,14.648,24.414,28.32,0.0,0
8,1581359759.6629999,19.043,4.883,31.738000000000003,24.901999999999997,0.0,0
9,1581359759.667,9.766,4.395,37.598,43.457,0.0,0
10,1581359759.671,20.508000000000003,9.766,36.621,46.875,0.0,0
11,1581359759.675,32.227,11.719000000000001,40.527,43.457,0.0,0
12,1581359759.677,15.625,19.531,30.761999999999997,41.016000000000005,0.0,0
13,1581359759.681,7.812,15.137,15.625,36.133,0.0,0
14,1581359759.685,13.672,9.766,16.113,36.621,0.0,0
15,1581359759.689,20.02,13.184000000000001,26.366999999999997,40.527,0.0,0
16,1581359759.6929998,25.391,7.812,32.227,35.156,0.0,0
17,1581359759.697,22.461,15.137,24.414,39.551,0.0,0
18,1581359759.701,12.695,22.949,20.996,48.34,0.0,0
19,1581359759.704,19.531,24.414,31.738000000000003,45.898,0.0,0
20,1581359759.708,28.809,28.32,33.691,36.621,0.0,0
21,1581359759.7120001,22.461,17.578,18.066,26.366999999999997,0.0,0
22,1581359759.716,10.254000000000001,10.254000000000001,12.695,43.945,0.0,0
23,1581359759.72,10.742,19.531,11.719000000000001,37.109,0.0,0
24,1581359759.7220001,27.831999999999997,16.602,11.719000000000001,25.391,0.0,0
25,1581359759.726,28.32,2.441,13.184000000000001,43.945,0.0,0
26,1581359759.73,27.831999999999997,10.254000000000001,20.996,51.758,0.0,0
27,1581359759.734,33.203,24.414,34.18,52.733999999999995,0.0,0
28,1581359759.738,39.062,23.926,21.484,50.293,0.0,0
29,1581359759.742,37.109,17.09,8.789,44.922,0.0,0
30,1581359759.746,44.434,18.555,14.648,45.41,0.0,0
31,1581359759.7489998,44.922,25.879,13.672,47.363,0.0,0
