timestamps,TP9,AF7,AF8,TP10,Marker0
1581633853.963,53.223,0.977,-684.570,32.715,0
1581633853.967,54.199,15.137,-542.969,36.621,0
1581633853.971,43.945,32.715,-698.730,42.480,0
1581633853.975,50.293,40.527,-828.613,41.016,0
1581633853.979,68.359,45.410,-649.414,47.363,0
1581633853.983,67.871,38.574,-589.844,53.223,0
1581633853.987,58.594,21.484,-848.145,50.781,0
1581633853.990,62.988,-0.977,-927.734,51.270,0
1581633853.994,79.590,24.902,-648.438,59.082,0
1581633853.998,67.383,71.289,-487.793,52.734,0
1581633854.002,50.293,35.645,-661.621,46.387,0
1581633854.006,53.223,13.184,-741.699,38.086,0
1581633854.008,51.270,27.832,-592.773,33.691,0
1581633854.012,50.293,17.578,-516.602,41.504,0
1581633854.016,51.270,12.695,-601.074,47.852,0
1581633854.020,40.039,30.273,-660.645,42.969,0
1581633854.024,43.457,47.852,-577.637,40.527,0
1581633854.028,51.758,20.508,-634.277,41.504,0
1581633854.032,51.758,0.488,-859.375,41.992,0
1581633854.035,39.551,29.297,-886.230,35.156,0
1581633854.039,36.621,41.016,-659.180,25.879,0
1581633854.043,42.480,17.090,-575.195,24.902,0
1581633854.047,50.781,10.254,-647.461,31.250,0
1581633854.051,40.527,36.621,-646.484,36.133,0
1581633854.068,30.273,47.852,-597.656,40.039,0
1581633854.072,49.805,29.297,-674.805,51.758,0
1581633854.076,48.828,19.043,-713.379,42.969,0
1581633854.080,41.016,32.227,-635.254,31.738,0
1581633854.084,28.809,32.715,-645.996,30.762,0
1581633854.088,16.602,4.395,-791.992,25.879,0
1581633854.092,22.949,-16.113,-954.590,25.879,0
1581633854.095,34.180,25.879,-943.848,35.156,0
1581633854.099,34.668,73.242,-744.141,38.574,0
1581633854.103,19.043,38.086,-793.457,19.043,0
1581633854.107,23.438,12.207,-809.082,21.484,0
1581633854.111,34.668,30.273,-672.363,41.016,0
1581633854.113,31.738,22.461,-729.980,34.668,0
1581633854.117,27.344,10.742,-797.363,18.066,0
1581633854.121,15.625,0.488,-752.441,14.648,0
1581633854.125,21.484,1.953,-624.512,33.691,0
1581633854.129,32.227,40.039,-650.391,48.828,0
1581633854.133,25.391,51.758,-847.168,27.832,0
1581633854.137,41.016,16.113,-882.812,26.367,0
1581633854.140,58.594,36.133,-751.953,53.223,0
1581633854.144,55.664,71.777,-799.805,54.688,0
1581633854.148,40.527,59.570,-937.012,33.203,0
1581633854.152,21.484,25.391,-879.883,16.113,0
1581633854.156,18.555,-15.625,-650.879,14.648,0
1581633854.158,9.766,8.301,-728.027,4.883,0
1581633854.162,6.348,49.316,-869.629,10.254,0
1581633854.166,10.254,40.039,-780.762,20.020,0
1581633854.170,28.809,27.344,-632.812,26.367,0
1581633854.174,47.852,43.457,-682.129,44.922,0
1581633854.178,33.203,39.551,-906.250,41.504,0
1581633854.182,23.926,26.855,-923.828,31.738,0
1581633854.185,33.203,61.035,-701.660,33.691,0
1581633854.189,43.945,87.891,-738.770,38.574,0
1581633854.193,38.086,45.898,-963.867,31.250,0
1581633854.197,34.180,8.301,-844.238,17.578,0
1581633854.201,38.574,-7.812,-734.375,21.484,0
1581633854.203,52.246,-11.230,-749.023,40.039,0
1581633854.207,41.016,16.602,-781.250,25.391,0
1581633854.211,28.809,45.898,-798.828,16.602,0
1581633854.215,38.574,80.078,-745.117,31.250,0
1581633854.219,40.039,86.426,-711.914,29.297,0
1581633854.223,33.203,55.176,-769.043,23.926,0
1581633854.227,23.438,11.719,-885.254,23.926,0
1581633854.230,17.578,-5.859,-882.324,41.992,0
1581633854.234,32.715,8.301,-910.645,54.199,0
1581633854.238,42.480,18.066,-889.648,42.969,0
1581633854.242,24.902,27.344,-723.633,30.762,0
1581633854.246,16.113,67.871,-817.383,25.879,0
1581633854.249,20.020,60.059,-822.754,20.996,0
1581633854.253,33.203,20.020,-767.090,27.344,0
1581633854.257,33.203,6.836,-841.309,32.227,0
1581633854.261,29.785,-9.766,-904.785,31.738,0
1581633854.265,42.480,12.207,-871.094,47.363,0
1581633854.269,46.387,42.969,-818.359,42.969,0
1581633854.273,35.645,56.641,-868.164,38.574,0
1581633854.276,27.344,58.105,-904.297,41.016,0
1581633854.280,29.785,55.176,-950.195,25.879,0
1581633854.284,25.391,25.879,-812.988,16.602,0
1581633854.288,19.043,-5.371,-772.461,10.742,0
1581633854.292,4.883,-5.371,-924.316,5.859,0
1581633854.294,13.184,15.137,-893.555,20.508,0
1581633854.298,40.527,44.434,-802.734,45.410,0
1581633854.302,44.922,58.594,-777.344,53.223,0
1581633854.306,30.273,48.340,-851.074,45.898,0
