timestamps,TP9,AF7,AF8,TP10,Marker0
1581447307.718,8.301,-972.168,-972.168,2.930,0
1581447307.722,12.695,-972.168,-972.168,13.184,0
1581447307.726,11.719,-972.656,-972.168,8.301,0
1581447307.730,13.672,-972.656,-972.168,-2.441,0
1581447307.734,20.020,-972.656,-972.168,-1.953,0
1581447307.738,17.578,-972.168,-972.168,11.719,0
1581447307.742,7.812,-972.168,-972.168,15.137,0
1581447307.745,9.766,-971.680,-972.168,3.418,0
1581447307.749,14.160,-974.609,-972.656,-6.836,0
1581447307.753,6.348,-965.332,-972.168,-1.953,0
1581447307.757,5.859,-962.891,-972.168,5.859,0
1581447307.761,5.371,-972.656,-972.168,-6.836,0
1581447307.763,12.207,-930.176,-972.168,-21.484,0
1581447307.767,15.625,-934.570,-972.168,-15.137,0
1581447307.771,0.488,-974.609,-972.168,-6.836,0
1581447307.775,-0.488,-972.168,-972.168,0.000,0
1581447307.779,10.254,-971.680,-972.168,-2.930,0
1581447307.783,8.789,-972.656,-972.168,-7.324,0
1581447307.787,13.672,-972.168,-972.168,7.812,0
1581447307.790,14.160,-972.168,-972.168,13.184,0
1581447307.794,14.160,-972.168,-972.656,5.371,0
1581447307.798,24.902,-972.168,-972.656,5.371,0
1581447307.802,12.207,-972.168,-972.168,10.742,0
1581447307.806,5.371,-972.168,-972.168,20.996,0
1581447307.808,19.531,-972.168,-972.168,21.973,0
1581447307.812,23.438,-972.168,-972.168,22.461,0
1581447307.816,16.602,-972.168,-972.656,25.879,0
1581447307.820,6.348,-972.168,-972.168,26.855,0
1581447307.824,-6.348,-972.168,-972.168,18.066,0
1581447307.828,-4.395,-972.168,-972.168,12.207,0
1581447307.832,5.371,-972.168,-972.168,18.555,0
1581447307.835,7.324,-972.168,-972.168,27.832,0
1581447307.839,6.836,-972.168,-972.168,31.250,0
1581447307.843,7.812,-972.168,-972.656,21.973,0
1581447307.847,-5.371,-972.656,-972.656,13.184,0
1581447307.851,-16.113,-972.656,-972.656,17.090,0
1581447307.868,-9.766,-972.168,-972.168,24.902,0
1581447307.872,-11.719,-972.168,-972.168,9.766,0
1581447307.876,-8.789,-972.656,-972.656,10.254,0
1581447307.880,-3.906,-972.168,-972.168,23.926,0
1581447307.884,-6.348,-972.168,-972.168,31.738,0
1581447307.888,-5.371,-972.168,-972.168,29.297,0
1581447307.892,-6.348,-972.168,-972.168,11.719,0
1581447307.895,-4.395,-972.168,-972.168,12.207,0
1581447307.899,-8.301,-972.656,-972.168,22.949,0
1581447307.903,-9.277,-972.656,-972.168,25.391,0
1581447307.907,2.441,-972.168,-972.168,19.531,0
1581447307.911,4.883,-972.168,-972.168,20.508,0
1581447307.913,-3.906,-972.168,-972.168,32.715,0
1581447307.917,-1.465,-972.168,-972.656,35.156,0
1581447307.921,5.859,-972.168,-972.168,26.367,0
1581447307.925,14.648,-972.168,-972.168,27.832,0
1581447307.929,9.277,-972.168,-972.168,32.227,0
1581447307.933,-1.465,-972.168,-972.168,34.180,0
1581447307.937,4.395,-972.168,-972.168,29.297,0
1581447307.940,13.184,-972.168,-972.168,20.996,0
1581447307.944,9.277,-972.168,-972.168,36.621,0
1581447307.948,-0.977,-972.656,-972.656,49.316,0
1581447307.952,-3.906,-972.168,-972.656,45.898,0
1581447307.956,16.602,-972.168,-972.168,49.316,0
1581447307.959,23.926,-972.168,-972.656,50.293,0
1581447307.963,-19.531,-972.656,-972.168,33.691,0
1581447307.967,-30.273,-972.168,-972.168,28.320,0
1581447307.971,-8.301,-972.168,-972.168,34.668,0
1581447307.975,-18.066,-972.168,-972.168,25.391,0
1581447307.979,-34.180,-972.168,-972.168,22.461,0
1581447307.983,-16.602,-972.168,-972.168,38.574,0
1581447307.986,-20.508,-972.168,-972.168,22.461,0
1581447307.990,-31.250,-972.168,-972.656,5.371,0
1581447307.994,-21.484,-972.168,-972.656,28.809,0
1581447307.998,-30.273,-972.168,-972.168,28.809,0
1581447308.002,-30.273,-972.168,-972.168,20.996,0
1581447308.004,-20.508,-972.168,-972.656,19.531,0
1581447308.008,-21.484,-972.168,-972.168,20.508,0
1581447308.012,-27.344,-972.168,-972.168,24.902,0
1581447308.016,-28.320,-972.168,-972.168,20.508,0
1581447308.020,-16.113,-972.168,-972.168,15.137,0
1581447308.024,-9.766,-972.168,-972.168,22.461,0
1581447308.028,-23.926,-972.168,-972.168,29.297,0
1581447308.031,-19.531,-972.168,-972.168,31.250,0
1581447308.035,-5.859,-972.168,-972.168,22.461,0
1581447308.039,-7.324,-972.168,-972.168,12.207,0
1581447308.043,-8.301,-972.168,-972.656,23.926,0
1581447308.047,-15.137,-972.168,-972.168,26.855,0
1581447308.049,-18.066,-972.168,-972.168,7.324,0
1581447308.053,-8.301,-972.168,-972.168,3.906,0
1581447308.057,-9.277,-972.168,-972.168,10.254,0
1581447308.061,-11.719,-972.168,-972.168,18.555,0
1581447308.065,-0.488,-972.168,-972.168,19.531,0
1581447308.069,2.930,-972.656,-972.168,14.648,0
1581447308.073,-4.395,-972.168,-972.168,20.508,0
1581447308.076,-8.789,-970.703,-972.168,25.391,0
1581447308.080,-9.277,-976.562,-972.168,25.391,0
1581447308.084,-1.953,-952.637,-972.656,31.738,0
1581447308.088,-5.371,-943.359,-972.168,20.996,0
1581447308.092,-17.578,-974.121,-972.168,22.949,0
1581447308.094,-12.207,-972.656,-972.168,24.902,0
1581447308.098,5.371,-971.191,-972.656,24.414,0
