timestamps,TP9,AF7,AF8,TP10,Marker0
1581351450.712,17.090,10.254,8.789,19.043,0
1581351450.716,36.133,1.465,9.277,18.555,0
1581351450.720,41.016,0.488,8.301,17.090,0
1581351450.724,34.180,13.184,12.207,29.785,0
1581351450.728,34.668,5.859,14.648,28.809,0
1581351450.732,44.434,-3.906,9.766,14.648,0
1581351450.736,41.016,5.859,7.324,14.648,0
1581351450.739,25.391,12.207,8.789,23.438,0
1581351450.743,15.137,8.789,6.836,17.578,0
1581351450.747,28.320,5.859,3.906,11.230,0
1581351450.751,49.316,7.324,7.812,15.137,0
1581351450.755,29.297,10.254,12.207,16.113,0
1581351450.757,16.602,3.418,16.113,19.531,0
1581351450.761,20.508,1.465,9.277,17.578,0
1581351450.765,26.855,2.441,3.418,1.953,0
1581351450.769,36.621,-2.930,6.348,-2.441,0
1581351450.773,40.039,-7.812,2.930,4.883,0
1581351450.777,53.711,-2.441,7.324,-2.441,0
1581351450.781,63.477,8.301,13.184,-14.160,0
1581351450.784,62.988,4.883,17.578,-18.066,0
1581351450.788,43.457,1.465,17.578,-21.973,0
1581351450.792,29.297,10.254,15.137,-26.855,0
1581351450.796,40.527,9.766,21.973,-18.555,0
1581351450.800,50.293,7.324,24.414,-16.602,0
1581351450.802,31.250,5.859,19.531,-30.762,0
1581351450.806,18.555,5.371,13.672,-27.832,0
1581351450.810,24.902,10.254,12.695,-18.066,0
1581351450.814,25.879,8.301,7.812,-19.043,0
1581351450.818,16.602,15.625,4.883,-13.184,0
1581351450.822,0.000,13.672,16.602,0.488,0
1581351450.826,-0.488,-1.465,19.043,-4.883,0
1581351450.829,10.742,-5.371,13.672,-22.949,0
1581351450.833,17.578,5.371,15.625,-25.879,0
1581351450.837,18.066,14.648,19.531,-11.719,0
1581351450.841,21.484,12.695,10.254,-13.184,0
1581351450.845,33.691,14.160,7.812,-23.926,0
1581351450.847,27.832,13.672,12.207,-32.715,0
1581351450.851,9.766,-1.953,5.859,-25.879,0
1581351450.855,7.324,-4.883,7.812,-10.254,0
1581351450.859,21.484,5.859,15.625,-19.043,0
1581351450.863,19.043,8.789,17.090,-16.113,0
1581351450.867,-2.930,7.812,13.672,-11.719,0
1581351450.871,-24.414,-0.977,9.277,-7.812,0
1581351450.874,-23.926,-9.766,7.812,-2.930,0
1581351450.878,-17.090,5.859,6.836,-11.230,0
1581351450.882,-27.344,19.531,7.812,-15.137,0
1581351450.886,-43.945,15.137,10.742,-11.719,0
1581351450.890,-43.457,6.836,4.395,-12.695,0
1581351450.892,-35.645,-2.930,-3.906,-18.555,0
1581351450.896,-42.480,4.883,2.930,-14.648,0
1581351450.900,-55.664,13.672,7.812,-4.883,0
1581351450.904,-59.570,10.742,9.277,-5.859,0
1581351450.908,-54.199,11.719,15.137,-13.672,0
1581351450.912,-57.617,15.625,10.254,-13.672,0
1581351450.916,-72.754,19.043,5.859,-18.555,0
1581351450.919,-81.055,14.648,8.789,-16.113,0
1581351450.923,-66.406,10.254,10.742,-10.254,0
1581351450.927,-55.176,7.324,15.625,-18.066,0
1581351450.931,-64.941,-2.441,15.625,-21.484,0
