timestamps,TP9,AF7,AF8,TP10,Marker0
1582217838.005,83.496,28.320,60.059,-100.098,0
1582217838.009,79.590,14.648,42.969,-117.188,0
1582217838.013,125.488,64.453,46.875,-146.973,0
1582217838.017,121.094,93.750,60.547,-131.836,0
1582217838.021,56.641,59.570,53.711,-118.164,0
1582217838.025,61.523,29.785,56.152,-98.633,0
1582217838.029,91.797,20.996,53.223,-108.398,0
1582217838.032,104.980,20.996,38.574,-115.234,0
1582217838.036,84.473,26.367,37.109,-80.078,0
1582217838.040,43.945,48.828,58.594,-41.992,0
1582217838.044,40.527,29.785,56.152,-55.664,0
1582217838.048,103.516,18.066,34.180,-91.797,0
1582217838.049,69.824,27.832,26.855,-91.797,0
1582217838.053,-8.301,17.578,46.387,-56.641,0
1582217838.057,60.547,16.113,47.363,-42.480,0
1582217838.061,147.949,17.090,29.785,-80.078,0
1582217838.065,121.094,28.320,-0.488,-80.078,0
1582217838.069,75.684,32.227,-7.812,-14.648,0
1582217838.073,79.102,-7.324,19.043,20.996,0
1582217838.076,111.328,-15.137,-5.371,-11.230,0
1582217838.080,110.840,38.574,0.000,-19.043,0
1582217838.084,129.883,34.668,28.320,48.340,0
1582217838.088,139.648,17.578,11.230,73.730,0
1582217838.092,141.113,14.648,-4.883,0.000,0
1582217838.109,170.410,-2.441,0.488,-26.367,0
1582217838.113,133.301,0.000,33.203,12.207,0
1582217838.117,74.707,18.555,34.180,41.016,0
1582217838.121,114.258,18.555,5.371,33.691,0
1582217838.125,136.719,-1.465,5.859,-9.766,0
1582217838.129,68.359,2.930,7.324,16.113,0
1582217838.133,-10.254,41.504,-5.371,79.102,0
1582217838.136,9.766,44.922,-15.625,84.473,0
1582217838.140,61.035,1.953,-12.695,84.961,0
1582217838.144,-33.203,-20.020,-22.461,120.605,0
1582217838.148,-79.102,23.438,-24.414,195.801,0
1582217838.152,-27.344,70.312,-1.465,222.656,0
1582217838.154,-3.906,66.406,-8.301,147.949,0
1582217838.158,0.488,41.016,-2.441,98.145,0
1582217838.162,-36.621,27.832,30.273,137.207,0
1582217838.166,-55.176,34.668,18.066,135.254,0
1582217838.170,16.602,12.695,-2.441,83.008,0
1582217838.174,52.734,-8.301,-5.859,34.180,0
1582217838.178,11.230,20.996,3.906,20.508,0
1582217838.181,-14.160,18.555,-8.789,0.977,0
1582217838.185,14.160,9.766,-15.137,-59.082,0
1582217838.189,32.715,27.344,11.719,-122.070,0
1582217838.193,0.000,42.969,23.438,-123.047,0
1582217838.197,-22.949,36.133,21.973,-62.012,0
1582217838.199,1.465,17.090,1.953,-43.457,0
1582217838.203,52.734,20.020,-13.184,-101.562,0
1582217838.207,56.641,7.812,-12.695,-108.887,0
1582217838.211,-2.930,20.020,-45.410,-55.664,0
1582217838.215,-48.340,19.043,-29.785,-43.945,0
1582217838.219,-13.672,17.578,19.531,-70.312,0
1582217838.223,10.254,68.848,32.227,-81.055,0
1582217838.226,-54.688,56.641,41.992,-49.316,0
1582217838.230,-85.449,8.301,8.789,-12.207,0
1582217838.234,-31.738,10.742,-21.973,-25.879,0
1582217838.238,-2.930,20.020,-3.418,-50.781,0
1582217838.242,-25.391,15.625,-21.484,16.113,0
1582217838.244,-53.711,29.297,-23.926,69.824,0
1582217838.248,-54.199,33.691,11.230,31.250,0
1582217838.252,-18.066,30.762,23.438,1.465,0
1582217838.256,-56.152,-8.301,20.508,32.227,0
1582217838.260,-135.254,-11.719,31.738,81.055,0
1582217838.264,-138.184,51.758,1.953,80.078,0
1582217838.268,-116.211,46.387,-42.969,-11.719,0
1582217838.271,-104.980,28.809,0.488,-31.738,0
1582217838.275,-146.484,47.363,56.641,35.156,0
1582217838.279,-173.828,32.715,49.805,20.996,0
1582217838.283,-97.168,33.691,13.184,-27.832,0
1582217838.287,-57.129,12.695,-32.227,-57.617,0
1582217838.289,-118.164,18.555,-33.203,-28.320,0
1582217838.293,-135.742,49.316,-0.977,-2.441,0
1582217838.297,-110.352,10.742,27.832,-40.039,0
1582217838.301,-109.375,26.855,53.711,-90.820,0
1582217838.305,-150.391,64.453,20.996,-80.566,0
1582217838.309,-193.359,37.109,-29.785,-35.645,0
1582217838.313,-176.758,-11.719,-12.207,-35.156,0
1582217838.316,-148.926,13.672,3.906,-83.008,0
1582217838.320,-178.711,45.410,20.508,-93.262,0
1582217838.324,-205.078,6.836,24.414,-23.926,0
1582217838.328,-189.941,-3.906,3.906,-1.953,0
1582217838.332,-165.527,16.602,4.395,-61.523,0
1582217838.334,-171.387,13.672,8.789,-68.359,0
1582217838.338,-233.398,37.598,14.648,-40.527,0
1582217838.342,-236.816,37.598,0.977,-28.320,0
1582217838.346,-153.809,11.230,-8.301,-43.945,0
1582217838.350,-126.465,16.113,-5.371,-72.754,0
1582217838.354,-190.430,24.902,7.324,-33.203,0
1582217838.358,-236.816,25.391,30.762,-3.418,0
1582217838.361,-211.914,31.250,22.949,-17.090,0
1582217838.365,-187.988,50.293,-10.742,-52.246,0
1582217838.369,-202.148,56.152,-2.930,-41.504,0
1582217838.373,-202.637,35.645,6.348,20.508,0
1582217838.377,-123.535,19.043,14.160,32.715,0
1582217838.379,-32.227,15.625,42.480,1.953,0
1582217838.383,-24.902,8.789,36.621,23.438,0
1582217838.387,-69.336,29.297,27.832,87.891,0
1582217838.391,-95.215,58.594,33.691,110.352,0
1582217838.395,-58.105,68.359,23.438,69.824,0
1582217838.399,-13.184,65.918,29.785,49.316,0
1582217838.403,-76.172,66.895,47.852,89.844,0
1582217838.406,-94.238,43.945,35.645,100.586,0
1582217838.410,3.418,33.203,31.250,63.477,0
1582217838.414,30.273,62.988,60.547,5.859,0
1582217838.418,-22.949,54.688,82.031,10.254,0
1582217838.422,-29.785,42.969,84.961,52.246,0
1582217838.424,23.926,23.926,81.543,31.738,0
1582217838.428,25.879,37.598,76.172,-0.488,0
1582217838.432,-2.930,56.152,44.434,5.371,0
1582217838.436,-13.184,50.293,31.738,14.160,0
1582217838.440,-8.789,50.781,56.641,-3.906,0
1582217838.444,35.645,42.480,71.777,-45.410,0
1582217838.448,37.598,39.551,81.543,-44.434,0
1582217838.451,-13.184,52.246,72.754,-4.395,0
1582217838.455,-26.855,16.113,46.387,6.836,0
1582217838.459,14.160,-30.762,48.828,-34.180,0
1582217838.463,42.480,15.137,45.898,-63.477,0
1582217838.467,4.395,74.707,42.480,-24.902,0
1582217838.484,-41.504,66.895,41.016,2.930,0
1582217838.488,-11.230,25.879,27.832,-35.645,0
1582217838.492,21.484,39.062,28.809,-79.102,0
1582217838.496,-3.418,41.992,48.828,-72.266,0
1582217838.500,-23.926,-2.930,25.879,-36.133,0
1582217838.504,38.086,18.066,0.000,-58.105,0
1582217838.508,123.535,69.824,26.855,-104.492,0
1582217838.511,103.516,52.734,43.457,-87.402,0
1582217838.515,38.574,30.762,27.832,-51.758,0
1582217838.519,15.137,31.738,22.949,-59.570,0
1582217838.523,83.008,-4.883,20.508,-98.633,0
1582217838.527,117.188,-30.273,9.766,-99.121,0
1582217838.529,76.172,22.949,10.254,-37.598,0
1582217838.533,138.672,33.203,20.996,-22.461,0
1582217838.537,277.344,32.227,42.969,-65.430,0
1582217838.541,297.852,55.176,28.320,-91.797,0
1582217838.545,167.969,25.391,6.348,-84.473,0
1582217838.549,105.957,18.555,31.738,-37.109,0
1582217838.553,118.652,5.371,30.762,-38.086,0
1582217838.556,93.262,12.695,-4.395,-81.543,0
1582217838.560,29.297,48.828,-5.859,-69.336,0
1582217838.564,5.859,46.387,22.949,-13.184,0
1582217838.568,53.711,19.531,40.039,8.789,0
1582217838.572,71.289,1.953,33.691,-33.691,0
1582217838.574,61.035,36.133,44.434,-26.367,0
1582217838.578,5.859,34.668,52.734,20.020,0
1582217838.582,-33.203,15.625,2.930,26.367,0
1582217838.586,7.812,34.668,-6.348,-17.578,0
1582217838.590,-7.324,45.410,50.781,-37.598,0
1582217838.594,-63.965,-13.184,55.664,23.926,0
1582217838.598,-58.594,-39.551,40.527,42.969,0
1582217838.601,-29.785,48.828,29.785,-0.977,0
1582217838.605,-15.625,70.312,15.137,-33.691,0
1582217838.609,-31.250,73.242,8.789,-3.906,0
1582217838.613,-33.203,81.543,7.324,33.691,0
1582217838.617,10.254,29.785,38.574,11.719,0
1582217838.619,34.668,33.691,66.406,-35.645,0
1582217838.623,3.906,50.293,65.918,-40.527,0
1582217838.627,-33.691,44.434,48.340,7.812,0
1582217838.631,-45.410,39.551,17.578,11.230,0
1582217838.635,-20.508,32.715,-0.977,-59.570,0
1582217838.639,-29.297,43.945,-12.207,-68.359,0
1582217838.643,-75.195,54.199,-18.555,-7.324,0
1582217838.646,-70.312,46.387,19.043,16.602,0
1582217838.650,-28.320,20.508,55.176,-26.367,0
1582217838.654,-24.902,23.438,45.898,-55.176,0
1582217838.658,-84.961,50.781,28.320,19.043,0
1582217838.662,-75.684,26.855,33.691,75.684,0
1582217838.664,-8.789,15.137,0.000,27.344,0
1582217838.668,-13.184,50.781,-28.809,-22.461,0
1582217838.672,-38.574,48.828,-8.789,9.277,0
1582217838.676,-57.617,36.133,-7.812,40.039,0
1582217838.680,-24.414,41.992,1.465,32.715,0
1582217838.684,28.320,45.898,16.602,4.395,0
1582217838.688,12.207,36.621,11.719,-11.719,0
1582217838.691,-48.828,17.578,12.207,39.062,0
1582217838.695,-24.902,8.789,9.277,62.500,0
1582217838.699,51.758,44.434,-12.695,6.348,0
1582217838.703,53.711,42.480,-25.879,-20.996,0
1582217838.707,3.906,4.395,-14.648,21.973,0
1582217838.709,-0.488,27.344,-7.812,36.133,0
1582217838.713,72.266,70.312,-17.578,-0.977,0
1582217838.717,76.660,62.500,-32.715,-6.836,0
1582217838.721,27.344,49.805,-26.367,15.137,0
1582217838.725,10.742,35.156,-4.395,34.180,0
1582217838.729,24.902,28.320,-15.625,3.906,0
1582217838.733,46.875,25.391,-36.133,-23.438,0
1582217838.736,42.969,26.855,-11.230,17.090,0
1582217838.740,24.902,47.363,7.812,39.062,0
1582217838.744,65.918,48.828,-9.277,23.926,0
1582217838.748,119.141,39.551,-39.062,-42.480,0
1582217838.752,118.164,41.504,-42.480,-50.781,0
1582217838.754,98.145,50.781,-30.273,-19.531,0
1582217838.758,104.980,55.664,-20.508,-36.133,0
1582217838.762,137.695,28.320,-18.555,-96.680,0
1582217838.766,142.090,-13.184,-17.090,-132.812,0
1582217838.770,88.379,8.301,-17.578,-80.078,0
1582217838.774,46.387,55.176,-22.949,-41.992,0
1582217838.778,82.520,55.176,-28.809,-47.852,0
1582217838.781,105.957,29.297,-16.113,-47.363,0
1582217838.785,66.406,26.855,-32.227,-15.625,0
1582217838.789,61.523,41.992,-40.527,10.742,0
1582217838.793,113.770,40.039,12.695,-5.859,0
1582217838.797,166.992,44.922,19.531,-24.902,0
1582217838.799,153.809,55.176,-15.625,-1.465,0
1582217838.803,113.770,44.922,-17.578,32.715,0
1582217838.807,149.414,12.695,-31.250,2.930,0
1582217838.811,170.898,-7.324,-21.973,-49.805,0
1582217838.815,96.191,6.836,4.395,-38.086,0
1582217838.819,36.133,44.434,-7.812,28.320,0
1582217838.823,24.902,76.172,-27.832,54.688,0
1582217838.826,50.293,57.129,-31.250,23.926,0
1582217838.830,60.547,32.227,-6.836,31.738,0
1582217838.834,11.230,25.879,-5.371,95.703,0
1582217838.838,24.902,2.930,7.812,139.648,0
1582217838.842,87.891,12.207,20.020,122.070,0
1582217838.859,99.609,30.762,0.488,108.887,0
1582217838.863,80.566,20.508,-25.391,144.043,0
1582217838.867,59.570,25.879,-33.691,153.809,0
1582217838.871,102.539,33.691,-1.953,99.121,0
1582217838.875,155.273,20.996,3.418,38.086,0
1582217838.879,96.680,15.625,-17.578,41.016,0
1582217838.883,55.176,9.766,19.043,69.336,0
1582217838.886,88.379,25.879,42.969,45.898,0
1582217838.890,102.539,42.969,18.555,-29.297,0
1582217838.894,70.312,48.828,2.930,-46.875,0
1582217838.898,17.090,29.785,19.531,-7.812,0
1582217838.902,23.926,21.484,41.016,-2.441,0
1582217838.904,70.801,21.484,39.551,-36.621,0
1582217838.908,81.543,35.156,36.133,-71.777,0
1582217838.912,39.551,42.480,28.809,-44.922,0
1582217838.916,37.598,20.996,12.207,9.766,0
1582217838.920,99.609,38.574,23.926,-0.977,0
1582217838.924,143.066,54.199,32.227,-43.945,0
1582217838.928,83.008,38.086,19.531,-19.043,0
1582217838.931,19.531,20.508,7.324,41.016,0
1582217838.935,90.820,16.113,12.695,65.430,0
1582217838.939,140.625,21.973,36.621,44.922,0
1582217838.943,139.648,35.645,47.852,52.734,0
1582217838.947,98.633,11.230,25.391,93.262,0
1582217838.949,102.539,4.883,14.648,90.332,0
1582217838.953,156.738,45.898,25.391,69.824,0
1582217838.957,166.016,50.781,39.062,65.918,0
1582217838.961,155.762,37.598,33.691,102.051,0
1582217838.965,156.738,33.203,7.812,110.840,0
1582217838.969,193.359,23.438,-4.395,53.223,0
1582217838.973,196.777,10.742,2.930,12.695,0
1582217838.976,161.621,14.160,23.438,46.875,0
