timestamps,TP9,AF7,AF8,TP10,Marker0
1582311283.142,64.453,29.297,21.973,62.988,0
1582311283.146,64.453,26.855,21.484,64.453,0
1582311283.150,57.129,21.484,23.438,60.059,0
1582311283.154,58.105,22.949,21.484,59.082,0
1582311283.158,62.988,23.926,18.555,61.035,0
1582311283.162,62.500,22.949,20.508,55.664,0
1582311283.166,61.035,24.902,22.949,55.664,0
1582311283.169,68.359,29.297,21.484,48.828,0
1582311283.173,72.754,27.832,20.020,41.016,0
1582311283.177,68.848,28.809,20.020,35.645,0
1582311283.181,66.406,29.785,19.531,35.645,0
1582311283.185,62.988,27.832,19.531,36.621,0
1582311283.187,57.129,26.367,18.555,34.668,0
1582311283.191,58.105,27.344,19.043,37.109,0
1582311283.195,58.105,27.832,20.996,41.992,0
1582311283.199,53.223,25.879,23.926,49.805,0
1582311283.203,52.734,25.879,23.926,49.316,0
1582311283.207,46.387,28.809,22.461,51.758,0
1582311283.211,48.828,29.297,20.996,52.246,0
1582311283.214,60.059,25.879,20.996,42.480,0
1582311283.218,57.617,26.855,22.461,33.691,0
1582311283.222,43.945,25.879,20.508,34.668,0
1582311283.226,40.039,22.461,20.020,41.992,0
1582311283.230,42.969,23.926,20.508,46.387,0
1582311283.232,42.969,25.391,21.973,38.086,0
1582311283.236,40.039,23.438,22.461,33.691,0
1582311283.240,40.527,21.973,20.020,36.621,0
1582311283.244,40.527,22.949,22.461,38.086,0
1582311283.248,40.039,24.414,21.973,33.691,0
1582311283.252,44.434,29.297,22.949,31.250,0
1582311283.256,56.152,29.785,24.414,33.203,0
1582311283.259,45.410,30.762,22.949,33.203,0
1582311283.263,32.227,36.133,25.879,22.461,0
1582311283.267,40.039,34.668,25.391,18.555,0
1582311283.271,40.039,34.180,26.367,24.414,0
1582311283.275,41.016,39.551,23.438,21.484,0
1582311283.277,41.504,34.180,23.438,25.391,0
1582311283.281,33.203,23.926,32.715,24.414,0
1582311283.285,25.391,20.508,37.109,15.625,0
1582311283.289,31.250,21.973,38.086,22.461,0
1582311283.293,29.297,20.996,41.992,27.832,0
1582311283.297,20.508,19.531,46.387,25.879,0
1582311283.301,21.484,15.137,50.781,23.926,0
1582311283.304,13.184,12.207,55.176,22.949,0
