timestamps,TP9,AF7,AF8,TP10,Marker0
1582733180.043,148.438,35.156,18.066,117.188,0
1582733180.047,147.949,31.738,16.602,112.305,0
1582733180.051,140.137,30.762,15.625,97.656,0
1582733180.055,143.066,29.297,18.066,103.516,0
1582733180.059,150.879,25.391,20.996,117.676,0
1582733180.063,169.434,33.203,16.602,107.422,0
1582733180.067,159.668,34.668,13.184,99.121,0
1582733180.070,151.367,25.391,16.602,83.496,0
1582733180.074,143.066,29.785,20.508,64.941,0
1582733180.078,126.465,28.809,20.020,71.777,0
1582733180.082,139.648,22.461,16.602,75.195,0
1582733180.086,148.438,24.902,18.555,86.914,0
1582733180.088,147.949,30.762,19.531,96.191,0
1582733180.092,135.742,26.855,17.090,79.102,0
1582733180.096,123.535,16.113,17.578,82.520,0
1582733180.100,129.883,20.020,16.113,78.613,0
1582733180.104,135.254,27.344,16.113,67.383,0
1582733180.108,127.930,29.297,20.020,78.613,0
1582733180.112,126.465,32.715,20.020,82.031,0
1582733180.115,135.254,30.273,18.555,72.754,0
1582733180.119,134.766,26.367,21.484,61.523,0
1582733180.123,128.906,27.344,22.949,78.613,0
1582733180.127,123.047,30.762,20.996,70.801,0
1582733180.131,143.555,29.297,19.043,68.848,0
1582733180.133,129.395,26.855,16.113,75.684,0
1582733180.137,119.141,25.879,18.066,65.430,0
1582733180.141,123.047,28.809,20.508,75.195,0
1582733180.145,113.281,30.273,21.973,67.383,0
1582733180.149,117.676,31.250,24.902,66.895,0
1582733180.153,115.234,30.273,24.902,71.777,0
1582733180.157,123.047,26.855,21.973,67.383,0
1582733180.160,139.160,26.367,20.508,55.176,0
1582733180.164,112.305,23.926,21.484,51.270,0
1582733180.168,78.125,21.484,21.973,59.082,0
1582733180.172,86.426,24.414,20.996,57.129,0
1582733180.176,93.750,21.484,18.066,55.664,0
1582733180.178,90.332,18.555,19.531,58.105,0
1582733180.182,88.867,25.879,22.949,60.059,0
1582733180.186,90.332,29.297,23.926,41.016,0
1582733180.190,90.332,27.832,26.855,43.945,0
1582733180.194,102.539,20.508,27.832,56.641,0
1582733180.198,96.680,12.207,29.297,51.270,0
1582733180.202,96.191,23.438,28.320,52.734,0
1582733180.205,95.215,30.273,24.902,41.504,0
1582733180.209,63.477,28.320,20.996,39.062,0
1582733180.213,66.895,29.785,19.043,44.922,0
1582733180.217,85.938,27.344,20.508,45.898,0
1582733180.221,97.656,22.949,21.973,46.387,0
1582733180.253,91.309,28.809,20.508,41.504,0
1582733180.257,80.078,32.715,21.484,36.133,0
1582733180.261,83.984,28.809,20.020,43.945,0
1582733180.265,83.984,24.414,18.555,50.781,0
1582733180.269,76.660,28.320,19.531,49.316,0
1582733180.273,78.613,28.809,17.090,45.898,0
1582733180.277,88.867,27.832,20.508,50.293,0
1582733180.280,85.449,26.855,24.902,55.664,0
1582733180.284,83.496,21.973,20.508,49.316,0
1582733180.288,91.797,24.414,20.020,45.898,0
1582733180.292,76.172,26.367,20.508,50.293,0
1582733180.296,76.660,30.273,18.066,46.875,0
1582733180.283,92.285,29.297,20.996,43.945,0
