timestamps,TP9,AF7,AF8,TP10,Marker0
1579708175.812,44.434,60.059,28.320,23.438,0
1579708175.815,53.711,59.570,27.344,16.602,0
1579708175.819,45.898,59.082,27.832,18.555,0
1579708175.823,31.250,58.594,27.832,24.414,0
1579708175.827,35.156,57.129,29.297,17.090,0
1579708175.831,37.109,51.758,33.691,5.371,0
1579708175.833,36.621,52.246,29.785,9.766,0
1579708175.837,38.574,62.500,25.879,19.043,0
1579708175.841,34.668,64.941,31.738,25.391,0
1579708175.845,32.227,64.941,37.598,29.785,0
1579708175.849,29.785,63.965,33.203,23.438,0
1579708175.853,29.297,61.035,29.297,18.555,0
1579708175.857,29.785,61.523,33.203,21.484,0
1579708175.860,40.527,66.406,34.668,16.602,0
1579708175.864,49.805,64.941,33.691,19.043,0
1579708175.868,32.227,58.594,32.227,25.879,0
1579708175.872,27.832,57.129,37.109,23.438,0
1579708175.876,41.992,57.617,34.668,23.438,0
1579708175.879,37.598,57.617,26.855,25.391,0
1579708175.883,34.180,61.035,28.809,11.719,0
1579708175.887,40.527,60.547,33.691,20.020,0
1579708175.891,43.945,60.547,35.156,32.715,0
1579708175.895,42.969,57.617,33.691,15.625,0
1579708175.899,48.340,54.199,31.250,16.113,0
1579708175.903,38.086,58.105,31.738,16.113,0
1579708175.906,28.320,62.500,29.785,5.859,0
1579708175.910,35.156,62.500,24.414,5.859,0
1579708175.914,37.109,61.035,22.461,7.812,0
1579708175.918,32.715,55.664,28.320,15.137,0
1579708175.922,29.785,53.223,29.297,1.953,0
1579708175.924,38.574,53.711,24.902,0.977,0
1579708175.928,53.711,54.688,22.949,21.973,0
1579708175.932,55.664,59.570,19.531,25.879,0
1579708175.936,61.035,62.500,16.602,19.043,0
1579708175.940,60.547,59.570,21.484,37.598,0
1579708175.944,65.918,57.129,23.926,59.570,0
1579708175.948,67.871,57.129,23.438,39.551,0
1579708175.951,47.363,57.617,24.414,33.203,0
1579708175.955,48.828,54.688,22.949,35.645,0
1579708175.959,61.523,55.176,24.414,34.668,0
1579708175.963,67.383,62.012,27.344,29.785,0
1579708175.967,62.500,59.082,28.320,31.738,0
1579708175.969,50.293,49.316,29.297,35.645,0
1579708175.973,42.969,49.316,33.203,19.043,0
1579708175.977,40.039,49.805,33.203,24.902,0
1579708175.981,39.062,48.828,29.785,38.574,0
1579708175.985,52.246,52.734,27.832,30.273,0
1579708175.989,54.688,56.152,28.809,14.648,0
1579708175.993,47.852,54.199,33.691,24.902,0
1579708175.996,43.457,56.641,32.715,29.785,0
1579708176.000,28.809,57.617,23.926,7.812,0
1579708176.004,33.203,48.340,29.297,17.578,0
1579708176.008,38.086,47.363,35.645,29.297,0
1579708176.012,37.598,56.152,30.273,15.137,0
1579708176.014,47.363,60.059,30.762,21.484,0
1579708176.018,41.504,58.105,35.645,29.297,0
1579708176.022,42.480,55.664,34.668,12.207,0
1579708176.026,41.016,52.734,31.250,15.625,0
1579708176.030,33.203,51.758,31.738,26.367,0
1579708176.034,45.898,54.688,28.809,20.020,0
1579708176.038,54.688,57.129,21.484,20.020,0
1579708176.041,58.594,53.711,20.996,27.832,0
1579708176.045,45.410,47.363,25.879,23.438,0
1579708176.049,42.480,52.734,29.785,36.621,0
1579708176.053,50.781,61.035,29.785,43.945,0
1579708176.057,55.664,63.965,28.320,20.020,0
1579708176.059,50.781,64.453,29.785,16.113,0
1579708176.063,49.805,67.383,29.785,19.531,0
1579708176.067,57.617,67.871,28.809,30.762,0
1579708176.071,47.363,61.035,30.273,37.598,0
1579708176.075,47.363,62.500,31.738,28.809,0
1579708176.079,55.176,66.895,29.297,27.344,0
1579708176.083,43.945,62.012,27.344,21.484,0
1579708176.086,39.551,56.152,27.832,19.531,0
1579708176.090,49.805,58.594,28.809,25.391,0
1579708176.094,45.410,62.500,24.902,21.973,0
1579708176.098,48.828,58.594,26.855,29.785,0
1579708176.102,58.594,60.547,30.273,36.133,0
1579708176.104,45.898,64.941,28.809,30.273,0
1579708176.108,39.551,63.477,28.809,29.297,0
1579708176.112,50.781,62.012,28.809,31.250,0
1579708176.116,53.711,63.477,25.391,24.414,0
1579708176.120,51.758,60.547,27.344,29.785,0
1579708176.124,46.387,58.105,29.785,30.762,0
1579708176.128,41.992,58.105,26.367,24.414,0
1579708176.131,38.574,57.617,28.809,28.320,0
1579708176.135,38.574,57.129,30.273,20.508,0
1579708176.139,42.480,55.664,24.902,20.020,0
1579708176.143,47.852,60.547,22.461,19.531,0
1579708176.147,49.805,65.430,24.902,19.043,0
1579708176.164,49.316,62.500,30.762,32.715,0
1579708176.168,40.527,56.152,34.180,29.297,0
1579708176.172,25.391,53.711,33.691,34.180,0
1579708176.176,35.645,57.129,30.273,35.645,0
1579708176.180,56.641,62.500,27.344,10.254,0
1579708176.184,55.176,62.012,25.879,15.137,0
1579708176.188,33.691,57.129,24.902,20.996,0
1579708176.191,26.367,52.734,25.391,15.137,0
1579708176.195,31.738,50.781,23.438,21.973,0
1579708176.199,44.434,58.594,24.902,17.090,0
1579708176.203,41.504,62.500,28.809,4.395,0
