timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1556048083.783,104.492,-972.656,-9.766,13.672,-68.359,0
1556048083.787,216.309,-972.656,-3.418,18.066,-49.805,0
1556048083.791,4.883,-972.656,-4.395,20.020,-56.152,0
1556048083.795,-165.527,-972.656,-8.789,31.738,-41.504,0
1556048083.799,16.113,-972.168,-10.254,37.598,-46.387,0
1556048083.803,203.125,-972.168,1.953,32.227,-53.711,0
1556048083.807,73.730,-972.656,24.414,37.109,-27.344,0
1556048083.810,-143.066,-972.656,20.996,40.527,-6.836,0
1556048083.814,-48.828,-972.656,8.789,31.250,-19.531,0
1556048083.818,193.848,-972.168,41.016,27.344,-23.926,0
1556048083.822,157.227,-972.168,51.270,44.922,9.766,0
1556048083.826,-91.309,-972.656,35.645,62.500,33.691,0
1556048083.828,-97.168,-972.168,34.668,58.594,15.137,0
1556048083.832,155.273,-972.656,41.016,53.223,-6.348,0
1556048083.836,208.008,-972.656,48.340,55.176,16.113,0
1556048083.840,-22.949,-972.656,26.367,51.758,15.625,0
1556048083.844,-128.418,-972.168,19.043,52.246,15.137,0
1556048083.848,85.938,-972.656,23.438,46.387,10.254,0
1556048083.852,217.773,-972.656,27.832,42.969,0.977,0
1556048083.855,38.574,-972.656,25.391,38.574,-6.836,0
1556048083.859,-145.996,-972.656,36.621,42.969,-6.836,0
1556048083.863,9.277,-972.656,62.988,45.898,9.766,0
1556048083.867,212.402,-972.656,53.711,38.574,7.324,0
1556048083.871,100.586,-972.656,47.852,39.062,20.020,0
1556048083.873,-125.000,-972.656,47.852,42.969,25.879,0
1556048083.877,-61.035,-972.656,38.574,40.527,17.090,0
1556048083.881,174.805,-972.656,29.297,26.855,16.602,0
1556048083.885,152.832,-972.656,12.695,18.066,-10.254,0
1556048083.889,-88.867,-972.656,11.719,27.344,-32.715,0
1556048083.893,-113.770,-972.168,22.949,35.156,10.254,0
1556048083.897,128.418,-972.656,17.090,24.902,14.648,0
1556048083.900,202.148,-972.656,12.695,13.672,-7.324,0
1556048083.904,-16.113,-972.656,32.715,18.066,7.324,0
1556048083.908,-140.625,-972.656,35.645,31.738,-1.953,0
1556048083.912,62.012,-972.656,32.227,26.367,-15.625,0
1556048083.916,212.891,-972.656,46.387,23.438,0.000,0
1556048083.918,48.828,-972.168,52.246,27.344,11.719,0
1556048083.922,-148.438,-972.656,42.969,30.273,19.043,0
1556048083.926,-11.719,-972.168,36.621,30.273,10.254,0
1556048083.930,211.426,-972.168,39.062,26.367,12.207,0
1556048083.934,130.371,-972.656,26.367,32.715,13.184,0
1556048083.938,-105.957,-972.656,9.277,43.945,0.977,0
1556048083.942,-67.871,-972.656,2.930,42.480,4.883,0
1556048083.945,174.805,-972.656,16.113,24.414,-13.672,0
1556048083.949,186.523,-972.656,38.574,23.926,-2.441,0
1556048083.953,-51.270,-972.656,26.367,40.039,15.625,0
1556048083.957,-108.398,-972.656,15.625,48.828,-7.812,0
1556048083.961,126.953,-972.168,25.391,40.039,0.488,0
1556048083.978,217.285,-972.656,29.785,29.785,31.250,0
1556048083.982,6.836,-972.168,20.020,42.480,3.418,0
1556048083.986,-141.113,-972.168,25.879,46.875,-0.488,0
1556048083.990,51.270,-972.656,44.434,35.156,20.996,0
1556048083.994,220.215,-972.656,43.457,20.020,20.508,0
1556048083.998,70.801,-972.656,20.508,24.902,-8.301,0
1556048084.002,-138.672,-972.656,20.020,35.156,-20.020,0
1556048084.005,-28.320,-972.656,44.922,23.926,6.348,0
1556048084.009,196.289,-972.656,45.410,20.508,-9.766,0
1556048084.013,135.254,-972.656,11.719,22.461,-21.973,0
1556048084.017,-102.539,-972.656,-10.254,27.832,-22.949,0
1556048084.021,-84.473,-972.656,9.766,27.832,-36.133,0
1556048084.038,160.156,-972.656,13.672,17.090,-6.836,0
1556048084.042,186.035,-972.656,5.371,16.602,-8.301,0
1556048084.046,-42.969,-972.656,1.953,21.973,-20.508,0
1556048084.050,-129.395,-972.656,6.836,30.273,-12.695,0
1556048084.054,108.887,-972.656,12.695,33.691,-35.645,0
1556048084.058,240.234,-972.656,16.113,41.992,-1.465,0
1556048084.062,26.855,-972.656,18.066,36.133,22.949,0
1556048084.065,-150.391,-972.656,21.484,20.996,-0.488,0
