timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1556039053.040,3.906,34.668,28.320,8.301,32.227,0
1556039053.044,-17.578,32.715,32.227,-1.953,4.395,0
1556039053.048,-8.789,29.297,38.086,-3.418,15.625,0
1556039053.052,-7.324,30.762,34.180,-5.371,19.043,0
1556039053.056,-15.137,28.320,37.109,-11.719,-20.020,0
1556039053.060,-12.695,29.785,43.945,-14.648,26.855,0
1556039053.064,-3.418,27.832,39.062,-8.789,51.758,0
1556039053.067,7.812,26.367,38.086,7.812,-0.488,0
1556039053.071,14.648,26.367,30.762,20.996,-11.719,0
1556039053.075,10.254,22.949,28.320,26.367,35.156,0
1556039053.079,8.301,28.809,37.598,22.461,-4.395,0
1556039053.083,13.184,33.203,42.480,11.230,-9.277,0
1556039053.085,19.531,34.668,36.621,5.859,80.078,0
1556039053.089,25.391,35.156,33.691,6.836,87.402,0
1556039053.093,25.879,34.668,39.062,10.254,52.246,0
1556039053.097,27.832,36.133,39.551,18.066,5.371,0
1556039053.101,37.598,36.133,28.320,25.391,52.246,0
1556039053.105,32.227,34.668,23.438,35.156,52.734,0
1556039053.109,28.320,33.691,36.621,38.086,30.273,0
1556039053.112,35.645,36.133,42.480,30.273,55.176,0
1556039053.116,38.574,39.062,38.086,26.367,28.809,0
1556039053.120,26.855,32.227,29.297,19.043,33.691,0
1556039053.124,8.301,25.391,25.879,7.812,28.320,0
1556039053.128,5.859,33.691,21.973,0.000,23.926,0
1556039053.130,16.113,47.852,21.484,-4.883,-39.062,0
1556039053.134,18.066,51.758,35.645,-12.207,-18.066,0
1556039053.138,19.043,49.805,32.715,-15.625,45.410,0
1556039053.142,23.438,47.852,14.160,-9.766,38.086,0
1556039053.146,31.250,46.387,18.066,-12.207,54.688,0
1556039053.150,31.738,43.457,28.320,-9.277,25.391,0
1556039053.154,29.297,41.992,23.438,1.953,19.531,0
1556039053.157,33.203,44.922,27.344,2.441,7.812,0
1556039053.161,35.156,43.945,43.457,-2.930,-26.855,0
1556039053.165,39.062,36.621,36.621,-1.953,-10.254,0
1556039053.169,29.297,29.297,23.438,4.883,-28.320,0
1556039053.173,20.020,34.180,25.879,4.883,-35.156,0
1556039053.175,30.762,40.039,25.391,6.348,64.453,0
1556039053.179,42.480,42.480,24.902,7.324,65.918,0
1556039053.183,44.434,43.457,29.297,0.977,26.855,0
1556039053.187,43.945,43.945,23.438,1.953,14.160,0
1556039053.191,37.598,43.945,17.578,5.859,5.371,0
1556039053.195,33.203,39.551,27.344,1.953,64.941,0
1556039053.199,35.156,39.551,33.691,9.766,52.734,0
1556039053.202,31.250,38.086,31.738,19.043,51.270,0
1556039053.206,9.277,29.785,29.785,5.859,61.523,0
1556039053.210,3.418,21.484,29.297,-9.277,15.137,0
1556039053.214,21.973,23.438,24.414,1.953,-3.906,0
1556039053.218,25.879,28.809,22.461,7.324,45.410,0
1556039053.220,19.531,27.344,23.438,5.371,15.137,0
1556039053.224,24.414,33.691,21.973,12.207,-0.488,0
1556039053.228,35.645,46.387,15.625,8.301,48.828,0
1556039053.232,31.738,51.270,7.324,8.301,74.219,0
1556039053.236,17.090,46.875,15.625,11.719,30.762,0
1556039053.240,8.789,42.480,28.320,4.883,-22.949,0
1556039053.244,21.484,41.992,29.785,6.348,12.207,0
1556039053.247,32.715,41.016,28.809,7.324,35.156,0
1556039053.251,25.391,37.109,26.855,6.348,48.340,0
1556039053.255,24.414,35.156,28.809,10.254,41.992,0
1556039053.259,39.551,35.645,25.391,11.230,-36.621,0
1556039053.263,43.457,40.039,16.602,19.043,-32.715,0
1556039053.265,31.738,35.645,18.555,23.438,2.441,0
1556039053.269,31.250,37.109,23.926,23.438,22.461,0
1556039053.273,30.762,46.387,26.855,20.020,10.254,0
1556039053.277,33.203,45.898,29.785,16.113,-7.324,0
1556039053.281,35.156,43.457,26.367,18.555,10.742,0
1556039053.285,27.832,47.363,18.066,17.090,-19.531,0
1556039053.289,30.762,45.898,23.438,10.742,46.387,0
1556039053.292,28.320,42.969,34.180,-1.465,53.711,0
1556039053.296,12.695,45.410,31.738,-11.719,31.738,0
1556039053.300,6.348,43.457,30.762,-5.859,76.660,0
1556039053.304,14.160,41.016,25.879,-4.395,36.621,0
1556039053.308,23.926,39.062,9.766,-0.977,10.254,0
1556039053.310,17.090,36.133,11.719,-11.719,34.180,0
1556039053.314,5.371,35.156,27.832,-17.090,-15.625,0
