timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1556132635.900,0.977,34.180,-125.488,-692.871,-121.582,0
1556132635.904,-171.387,32.227,-350.586,-783.691,-209.961,0
1556132635.908,-187.500,19.531,-372.070,-819.824,-217.285,0
1556132635.912,-47.363,8.301,-256.348,-824.707,-231.934,0
1556132635.916,-12.695,23.438,-231.934,-843.262,-258.789,0
1556132635.920,-154.785,29.785,-381.348,-891.113,-231.445,0
1556132635.924,-239.746,28.809,-479.980,-912.598,-255.371,0
1556132635.927,-88.867,42.969,-291.504,-855.469,-229.980,0
1556132635.931,20.996,47.852,-262.207,-788.086,-227.051,0
1556132635.935,-97.656,27.344,-208.984,-774.414,-224.121,0
1556132635.939,-218.262,8.789,-176.758,-763.672,-166.992,0
1556132635.943,-109.863,26.855,-145.508,-687.500,-135.742,0
1556132635.944,41.504,30.762,74.707,-594.238,-76.660,0
1556132635.948,-11.719,27.344,72.754,-559.570,-132.324,0
1556132635.952,-166.504,31.250,-170.410,-555.176,-232.422,0
1556132635.956,-135.254,32.715,-179.688,-511.230,-193.848,0
1556132635.960,40.039,29.785,60.547,-414.551,-136.719,0
1556132635.964,51.270,43.457,87.891,-367.676,-119.141,0
1556132635.968,-119.629,54.688,-51.270,-400.879,-112.305,0
1556132635.971,-152.832,43.457,-202.637,-397.949,-108.398,0
1556132635.975,14.160,9.766,-102.051,-334.961,-118.652,0
1556132635.979,84.961,-5.859,253.418,-278.809,-76.172,0
1556132635.983,-57.617,33.203,171.875,-285.645,-35.645,0
1556132635.987,-155.273,54.199,-50.781,-284.668,-53.223,0
1556132635.990,-15.625,46.387,130.371,-206.543,-54.688,0
1556132635.994,103.027,35.645,371.582,-143.555,-60.547,0
1556132635.998,6.348,26.367,257.324,-135.254,-73.242,0
1556132636.002,-121.094,28.809,111.328,-142.090,8.789,0
1556132636.006,-43.945,35.156,220.215,-105.957,24.414,0
1556132636.010,106.934,21.484,337.891,-35.156,-7.812,0
1556132636.014,71.289,14.648,253.418,-20.020,-10.742,0
1556132636.017,-93.750,22.949,-20.020,-47.852,-52.734,0
1556132636.021,-79.102,19.043,96.680,-32.227,-25.879,0
1556132636.025,97.168,16.113,422.363,32.227,-7.812,0
1556132636.029,109.863,31.250,404.297,57.129,-2.930,0
1556132636.033,-49.805,38.086,214.844,22.949,5.859,0
1556132636.034,-84.473,12.695,134.277,20.020,-29.297,0
1556132636.038,79.102,7.812,296.387,73.242,17.090,0
1556132636.042,154.785,18.066,333.984,108.398,20.020,0
1556132636.046,12.207,16.113,200.195,84.961,2.930,0
1556132636.050,-89.355,17.090,116.211,57.129,42.480,0
1556132636.054,37.109,12.207,110.840,99.609,2.930,0
1556132636.058,157.227,10.254,161.133,143.555,37.598,0
1556132636.061,60.547,18.555,128.418,110.352,55.176,0
1556132636.065,-83.496,38.574,155.762,82.031,46.875,0
1556132636.069,-11.719,36.621,199.219,112.793,43.945,0
1556132636.073,151.855,28.320,303.711,168.457,60.059,0
1556132636.077,124.512,29.785,352.051,164.062,120.117,0
1556132636.079,-49.316,20.020,163.574,108.887,96.191,0
1556132636.083,-38.086,21.484,66.406,126.953,82.520,0
1556132636.087,139.648,17.578,189.941,186.035,99.121,0
1556132636.091,160.645,10.742,290.039,186.035,104.004,0
1556132636.095,-9.766,21.973,138.672,130.859,115.234,0
1556132636.099,-73.730,18.555,-84.473,112.305,92.285,0
1556132636.103,81.055,22.461,-25.879,164.062,117.188,0
1556132636.106,163.086,30.762,250.000,187.988,160.156,0
1556132636.110,41.992,19.531,291.992,155.762,174.805,0
1556132636.114,-75.195,14.160,47.363,117.188,177.734,0
1556132636.118,32.227,19.531,70.312,141.113,178.711,0
1556132636.122,174.316,33.691,316.895,191.406,221.680,0
1556132636.139,102.539,42.480,241.699,170.898,210.449,0
1556132636.143,-49.316,30.762,-30.762,132.812,179.688,0
1556132636.147,0.000,29.297,-26.367,140.137,195.312,0
1556132636.151,164.551,30.762,220.215,185.059,224.609,0
1556132636.155,145.508,27.344,255.859,188.477,231.445,0
1556132636.159,-21.973,33.691,-68.848,138.672,204.102,0
1556132636.163,-41.504,35.645,-152.832,130.371,203.613,0
1556132636.166,113.770,30.273,118.652,160.645,226.074,0
1556132636.170,168.457,19.531,231.934,186.035,260.254,0
1556132636.174,21.973,16.113,2.441,152.832,250.000,0
1556132636.178,-68.359,18.066,-112.305,113.281,238.281,0
1556132636.182,78.125,14.648,131.348,152.344,256.348,0
1556132636.184,184.570,25.879,258.789,177.734,283.203,0
1556132636.188,65.430,45.410,126.465,142.578,285.156,0
1556132636.192,-62.988,35.645,-48.340,107.422,248.535,0
1556132636.196,23.926,14.648,67.383,121.582,273.438,0
1556132636.200,169.434,34.668,181.641,159.180,279.785,0
1556132636.204,118.164,42.480,48.340,138.184,261.230,0
1556132636.208,-50.781,28.809,-72.266,86.426,275.879,0
1556132636.211,-28.320,24.414,-20.996,82.520,254.395,0
1556132636.215,143.066,16.602,75.684,127.441,232.422,0
1556132636.219,148.438,12.695,41.016,133.789,258.301,0
1556132636.223,-18.066,26.855,27.344,73.242,270.508,0
1556132636.227,-55.176,48.828,-20.020,53.711,229.492,0
1556132636.230,103.027,54.199,100.098,99.609,246.582,0
1556132636.234,166.016,39.062,243.652,111.816,272.461,0
1556132636.238,17.578,28.320,119.141,59.082,242.676,0
1556132636.242,-84.961,31.250,-10.254,12.207,241.211,0
1556132636.246,51.270,41.992,50.781,46.875,248.535,0
1556132636.250,175.293,38.574,118.164,86.426,249.023,0
1556132636.254,58.105,21.973,18.066,41.992,235.840,0
1556132636.257,-89.355,24.902,-48.340,-5.859,224.121,0
1556132636.261,-7.812,37.598,-113.281,3.906,206.055,0
1556132636.265,140.625,23.438,-39.062,41.016,187.988,0
1556132636.269,100.098,21.973,165.527,30.762,201.660,0
1556132636.273,-67.383,46.387,27.344,-24.902,202.148,0
1556132636.275,-57.617,40.527,-75.684,-25.879,179.199,0
1556132636.279,110.352,16.602,34.180,13.184,156.738,0
1556132636.283,128.418,19.531,133.301,15.137,179.688,0
1556132636.287,-28.320,40.039,12.207,-26.855,176.758,0
1556132636.291,-88.867,38.086,-111.328,-52.246,167.480,0
1556132636.295,62.012,33.691,28.809,-14.648,197.266,0
1556132636.299,156.738,39.062,147.461,9.766,182.129,0
1556132636.302,24.414,31.250,-3.906,-35.645,126.465,0
1556132636.306,-101.562,29.297,-282.715,-79.102,108.887,0
1556132636.310,10.742,22.461,-17.090,-53.711,164.551,0
1556132636.314,138.184,26.855,227.051,-15.625,178.711,0
1556132636.318,52.246,30.762,37.598,-42.480,144.043,0
1556132636.319,-98.145,34.180,-110.352,-80.566,127.930,0
1556132636.323,-39.062,29.297,-16.602,-61.523,133.301,0
1556132636.327,122.070,23.438,142.090,-9.277,138.184,0
1556132636.331,95.703,49.316,86.914,-7.812,137.207,0
1556132636.335,-67.871,44.922,-105.957,-63.965,113.770,0
1556132636.339,-76.660,26.855,-180.664,-70.801,106.934,0
1556132636.343,89.844,31.738,-11.230,-21.973,117.676,0
1556132636.346,127.441,31.250,13.184,-17.090,101.074,0
1556132636.350,-34.180,33.203,-153.809,-69.824,93.750,0
1556132636.354,-110.840,32.715,-49.805,-98.145,104.004,0
1556132636.358,41.504,23.438,90.820,-50.781,84.961,0
1556132636.362,144.531,4.883,158.691,-15.137,92.773,0
1556132636.364,16.602,20.020,96.191,-54.199,98.633,0
1556132636.368,-117.188,48.340,-57.617,-98.633,64.941,0
1556132636.372,-12.695,43.457,-12.695,-81.055,76.660,0
1556132636.376,134.277,33.203,114.258,-30.762,87.891,0
1556132636.380,71.289,47.852,84.961,-41.504,66.895,0
1556132636.384,-95.215,49.316,-169.434,-101.074,30.762,0
1556132636.388,-71.777,26.855,-173.340,-104.004,62.988,0
1556132636.391,96.191,12.695,-54.199,-59.082,75.195,0
1556132636.395,98.145,4.395,61.523,-59.082,76.660,0
1556132636.399,-70.801,26.855,45.410,-103.516,54.688,0
1556132636.403,-104.004,38.086,-105.957,-116.699,15.137,0
1556132636.407,52.734,26.855,44.434,-79.590,39.062,0
1556132636.409,117.676,32.227,182.617,-60.547,49.805,0
1556132636.413,-17.090,45.898,39.551,-91.797,37.109,0
1556132636.417,-117.676,20.996,-142.578,-122.070,28.320,0
1556132636.421,24.902,19.531,-15.625,-82.031,52.734,0
1556132636.425,151.855,44.434,189.941,-38.574,78.125,0
1556132636.429,29.297,35.156,20.020,-81.055,47.852,0
1556132636.433,-110.840,25.879,-336.426,-128.906,-22.461,0
1556132636.436,-17.578,14.648,-249.023,-99.609,-29.785,0
1556132636.440,132.324,-1.465,204.590,-42.969,41.504,0
1556132636.444,75.195,13.672,221.191,-60.059,37.109,0
1556132636.448,-98.145,46.387,-117.676,-127.441,-29.297,0
1556132636.452,-78.613,50.293,-113.770,-125.488,-7.812,0
1556132636.454,90.332,34.180,163.574,-73.730,20.020,0
1556132636.458,110.840,40.039,165.039,-63.965,6.836,0
1556132636.462,-43.945,38.574,-88.867,-102.051,-33.691,0
1556132636.466,-93.750,41.992,-123.535,-117.188,-31.250,0
1556132636.470,60.059,36.621,108.887,-68.359,16.113,0
1556132636.474,140.137,38.574,124.023,-29.297,16.602,0
1556132636.478,-2.930,49.805,-134.766,-69.336,-3.418,0
1556132636.481,-110.352,39.551,-163.086,-103.516,-22.461,0
1556132636.485,15.625,29.297,115.234,-67.383,15.625,0
1556132636.489,136.719,7.812,204.590,-24.902,38.086,0
1556132636.493,51.758,-3.418,86.426,-33.691,16.602,0
1556132636.497,-93.750,20.020,-32.715,-70.312,4.395,0
1556132636.515,-16.602,35.156,12.207,-47.363,8.789,0
1556132636.519,138.184,23.438,102.051,0.977,14.160,0
1556132636.523,88.867,20.020,59.082,-7.324,6.348,0
1556132636.527,-78.125,35.645,-14.648,-51.758,0.488,0
1556132636.531,-74.219,48.340,-41.504,-48.340,8.301,0
1556132636.535,91.309,48.828,-19.531,6.348,40.039,0
1556132636.539,121.582,41.016,62.012,19.043,59.082,0
1556132636.542,-30.273,30.273,94.238,-17.578,45.898,0
1556132636.546,-88.379,20.508,2.441,-25.391,38.086,0
1556132636.550,61.523,23.926,52.246,19.043,41.016,0
1556132636.554,141.602,22.949,168.457,42.480,51.270,0
1556132636.558,5.371,10.742,90.820,0.977,51.270,0
1556132636.560,-108.887,22.461,-91.797,-21.484,41.016,0
1556132636.564,4.395,39.062,-20.508,15.137,57.129,0
1556132636.568,141.113,38.086,179.688,48.340,83.008,0
1556132636.572,71.777,32.227,140.137,45.410,73.730,0
1556132636.576,-75.684,29.297,-104.004,16.602,52.734,0
1556132636.580,-23.438,30.273,-140.137,30.762,74.219,0
1556132636.584,139.160,29.297,31.738,82.520,75.195,0
