timestamps,TP9,AF7,AF8,TP10,Marker0
1581351676.656,18.555,16.602,34.180,15.625,0
1581351676.660,11.230,15.137,37.598,12.207,0
1581351676.664,5.371,20.508,33.203,7.324,0
1581351676.668,9.277,15.137,34.180,3.906,0
1581351676.672,13.184,2.441,35.645,9.277,0
1581351676.676,13.184,3.906,31.250,13.184,0
1581351676.680,7.812,17.090,26.855,16.113,0
1581351676.683,13.184,24.902,26.367,12.207,0
1581351676.687,26.855,20.508,26.367,14.160,0
1581351676.691,31.738,23.926,27.344,15.137,0
1581351676.695,25.391,33.691,27.832,15.625,0
1581351676.699,20.020,29.785,31.738,22.461,0
1581351676.716,37.109,34.668,33.691,18.555,0
1581351676.720,32.715,28.320,30.273,8.789,0
1581351676.724,10.254,16.113,38.574,15.625,0
1581351676.728,8.789,20.996,36.133,21.484,0
1581351676.732,24.902,19.531,30.273,22.949,0
1581351676.736,45.410,19.531,32.227,26.855,0
1581351676.740,34.180,10.254,30.762,25.879,0
1581351676.743,24.902,8.789,33.691,25.879,0
1581351676.747,32.715,6.836,34.668,31.738,0
1581351676.751,33.691,10.254,33.203,36.621,0
1581351676.755,34.668,32.227,35.156,32.227,0
1581351676.759,23.926,34.668,37.109,26.855,0
1581351676.761,17.578,29.297,33.203,26.855,0
1581351676.765,28.320,25.879,30.273,23.926,0
1581351676.769,32.715,22.949,34.668,23.926,0
1581351676.773,21.973,23.926,35.645,20.996,0
1581351676.777,21.484,32.715,34.668,16.602,0
1581351676.781,37.109,32.227,37.109,25.391,0
1581351676.785,41.504,22.949,32.715,29.297,0
1581351676.788,36.621,26.367,29.297,22.461,0
1581351676.792,26.855,30.762,32.715,16.113,0
1581351676.796,34.180,31.250,32.715,17.090,0
1581351676.800,35.645,27.832,28.320,20.996,0
1581351676.804,20.996,21.973,30.762,20.996,0
1581351676.806,15.137,25.391,31.738,14.160,0
1581351676.810,25.879,29.785,35.645,13.672,0
1581351676.814,37.598,26.855,40.039,22.461,0
1581351676.818,33.203,22.461,33.203,32.715,0
1581351676.822,18.555,14.648,31.738,22.949,0
1581351676.826,15.137,4.883,40.039,8.301,0
1581351676.830,31.250,17.090,38.574,13.672,0
1581351676.833,36.133,32.227,33.691,22.949,0
1581351676.837,19.043,29.785,25.391,8.789,0
1581351676.841,13.184,15.625,22.949,-2.441,0
1581351676.845,27.832,19.531,29.785,12.695,0
1581351676.849,29.785,20.508,25.879,14.648,0
1581351676.851,16.113,8.301,22.949,13.672,0
1581351676.855,15.137,15.137,27.832,15.137,0
1581351676.859,23.926,22.461,32.715,25.391,0
1581351676.863,27.832,26.367,35.156,35.645,0
1581351676.867,19.043,18.066,34.180,26.367,0
1581351676.871,9.766,15.137,30.762,24.902,0
1581351676.875,16.602,20.996,30.273,28.809,0
1581351676.878,29.785,13.672,35.156,27.832,0
1581351676.882,30.273,7.812,35.645,25.391,0
1581351676.886,16.602,19.531,30.273,20.020,0
1581351676.890,18.066,31.738,29.785,18.066,0
1581351676.894,29.785,30.273,28.320,22.949,0
1581351676.896,34.180,31.738,29.297,27.832,0
1581351676.900,17.090,33.203,31.738,22.461,0
1581351676.904,1.465,12.695,27.344,3.906,0
1581351676.908,9.277,-0.977,27.832,4.395,0
1581351676.912,15.625,11.719,26.855,6.836,0
1581351676.916,13.672,14.160,24.902,0.000,0
1581351676.920,8.301,17.578,27.344,3.906,0
1581351676.923,12.207,19.531,23.438,4.395,0
1581351676.927,20.508,2.930,23.926,3.418,0
1581351676.931,19.043,13.184,30.762,2.441,0
1581351676.935,11.230,34.668,36.621,0.000,0
1581351676.939,14.648,26.367,40.039,3.418,0
1581351676.941,28.320,24.414,34.180,2.441,0
1581351676.945,32.227,28.809,25.879,-0.977,0
1581351676.949,27.832,27.344,27.832,1.465,0
1581351676.953,28.809,12.695,28.809,0.000,0
1581351676.957,30.273,5.371,19.531,-7.812,0
1581351676.961,26.855,20.996,19.043,-10.742,0
1581351676.965,23.926,21.973,24.414,-2.441,0
1581351676.968,18.555,14.160,23.438,6.348,0
1581351676.972,23.438,20.996,21.484,10.742,0
1581351676.976,31.738,9.277,22.949,17.578,0
1581351676.980,29.297,7.812,28.320,23.926,0
1581351676.984,34.180,31.738,34.180,37.598,0
1581351676.986,35.645,31.250,32.715,37.109,0
1581351676.990,35.156,29.785,22.461,27.832,0
1581351676.994,31.250,37.109,20.508,28.809,0
1581351676.998,23.438,38.086,31.250,32.227,0
1581351677.002,31.738,28.809,37.109,38.086,0
1581351677.006,42.969,23.438,33.203,41.504,0
1581351677.010,30.762,22.461,25.391,20.996,0
1581351677.013,19.043,25.391,27.344,7.324,0
1581351677.017,20.508,21.973,31.250,10.742,0
1581351677.021,24.902,7.812,21.484,8.301,0
1581351677.025,32.227,15.137,21.484,5.371,0
1581351677.029,22.461,37.109,31.738,2.441,0
1581351677.047,11.719,31.250,29.785,-2.930,0
1581351677.051,19.531,19.043,25.879,-11.230,0
1581351677.055,26.367,24.414,20.996,-10.742,0
1581351677.059,24.902,20.508,21.484,-9.277,0
